basement,"[0, 0]"
bouncing-balls,"[0, 0]"
bowling,"[9, 9]"
camel-case,"[0, 20]"
coin-sums,"[0, 0]"
cut-vector,"[0, 0]"
dice-game,"[0, 0]"
find-pair,"[0, 0]"
fizz-buzz,"[20, 20]"
fuel-cost,"[0, 0]"
gcd,"[20, 20]"
indices-of-substring,"[0, 0]"
leaders,"[0, 0]"
luhn,"[0, 0]"
mastermind,"[0, 0]"
middle-character,"[0, 0]"
paired-digits,"[0, 0]"
shopping-list,"[0, 0]"
snow-day,"[0, 0]"
solve-boolean,"[0, 0]"
spin-words,"[0, 14]"
square-digits,"[9, 9]"
substitution-cipher,"[0, 0]"
twitter,"[0, 15]"
vector-distance,"[0, 0]"
