basement,"[0, 0]"
bouncing-balls,"[0, 0]"
bowling,"[10, 10]"
camel-case,"[0, 15]"
coin-sums,"[0, 0]"
cut-vector,"[0, 0]"
dice-game,"[0, 0]"
find-pair,"[0, 0]"
fizz-buzz,"[14, 14]"
fuel-cost,"[0, 0]"
gcd,"[8, 8]"
indices-of-substring,"[0, 0]"
leaders,"[0, 0]"
luhn,"[0, 0]"
mastermind,"[0, 0]"
middle-character,"[0, 0]"
paired-digits,"[0, 0]"
shopping-list,"[0, 0]"
snow-day,"[0, 0]"
solve-boolean,"[4, 4]"
spin-words,"[0, 0]"
square-digits,"[1, 1]"
substitution-cipher,"[0, 0]"
twitter,"[0, 6]"
vector-distance,"[0, 0]"
