basement,"[0, 0]"
bouncing-balls,"[0, 0]"
bowling,"[12, 12]"
camel-case,"[0, 20]"
coin-sums,"[0, 0]"
cut-vector,"[0, 0]"
dice-game,"[0, 0]"
find-pair,"[0, 0]"
fizz-buzz,"[20, 20]"
fuel-cost,"[0, 0]"
gcd,"[12, 12]"
indices-of-substring,"[0, 0]"
leaders,"[0, 0]"
luhn,"[0, 0]"
mastermind,"[0, 0]"
middle-character,"[1, 1]"
paired-digits,"[0, 0]"
shopping-list,"[0, 0]"
snow-day,"[0, 0]"
solve-boolean,"[1, 1]"
spin-words,"[0, 19]"
square-digits,"[15, 16]"
substitution-cipher,"[0, 0]"
twitter,"[0, 20]"
vector-distance,"[0, 0]"
