input1,output1
[-1],0
[-100],0
[-1 100],0
[-95 100],0
[-30 5],0
[-50 50],0
[0 -1],1
[1 -2],1
[3 -97],1
[99 -100],1
[1 -1 -1],2
[1 -2 -1],1
[0 -1 -1],1
[0 0 -1],2
[2 -2 -1],2
[5 -6 -5],1
[5 -5 -5],2
[100 -100 -100],2
[-100 -100 -100],0
[-1 100 99],0
[-10 -10 -10 -10 -10 -10 -10 -10 -10 -10 -10 -10 -10 -10 -10 -10 -10 -10 -10 -10],0
[-1 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100],0
[5 -10 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5],1
[5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 -99],19
[1 2 3 4 5 6 7 8 9 -1 -2 -3 -4 -5 -6 -7 -8 -9 -10 10],18
[93 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5],19
[99 -10 -9 -12 -10 -5 -12 -3 -10 -9 -9 -10 -12 -11 -12 -9 -10 -12 -11 -10],12
[1 1 1 1 2 2 2 2 -1 -1 -1 -2 -3 -4 -5 -1 1 2 3 4],14
[0 -1 0 0 0 0 0 0 0 0 -1 0 0 0 0 0 0 0 0 -1],1
[0 0 0 0 0 0 0 0 0 0 -1 0 0 0 0 0 0 0 0 -1],10
[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1],19
[50 -30 0 0 0 0 0 0 0 0 -30 0 0 0 0 0 0 0 0 -30],10
[50 0 0 0 0 0 0 0 0 0 -30 0 0 0 0 0 0 0 0 -30],19
[50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -60],19
[20 -30 0 0 0 0 0 0 0 0 -30 0 0 0 0 0 0 0 0 -30],1
