input1,output1
[-1 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100],0
[20 -30 0 0 0 0 0 0 0 0 -30 0 0 0 0 0 0 0 0 -30],1
[68 1 53 71 -59 -97 37 -19 17 53 -63 -40 -4 -76 -33 -49 -48 -64],13
[-100],0
[-49 -37 -19 96 56 16 -79],0
[5 -10 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5],1
[1 -2 -1],1
[-30 5],0
[-95 100],0
[50 0 0 0 0 0 0 0 0 0 -30 0 0 0 0 0 0 0 0 -30],19
[39 -79 61 -22 42 -74 -13 28 -40 -77],1
[9 0 -86 -27 52],2
[3 -97],1
[-59 91 34 29 -15 11 14 -73 -86 -89 -71 -84 -57 63 -4 -3],0
[1 2 3 4 5 6 7 8 9 -1 -2 -3 -4 -5 -6 -7 -8 -9 -10 10],18
[-100 -100 -100],0
[-1 100 99],0
[0 0 0 0 0 0 0 0 0 0 -1 0 0 0 0 0 0 0 0 -1],10
[6 100 8 3 -83 11 27 67 -68 -3 -24 15 -51 32 -45 -29 -94 -78],14
[25 79 36 11 -89 23 -97 -52 -24 -42 73],6
[0 -1],1
[93 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5],19
[50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -60],19
[72 52 68 26 60 -17 -33 -38 -48 -39 -66 -70 -42 -66 -89 -94 -79],11
[100 -100 -100],2
[5 -5 -5],2
[50 -30 0 0 0 0 0 0 0 0 -30 0 0 0 0 0 0 0 0 -30],10
[1 -2],1
[0 -1 -1],1
[0 -1 0 0 0 0 0 0 0 0 -1 0 0 0 0 0 0 0 0 -1],1
[2 -2 -1],2
[-68 51 34 -79 -15 29 35 -26 -80 33 -91 -92 -40],0
[21 51 17 92 9 77 -10 96 -49 8 -62 -14 -48 -2 -89 -55 -21 -77],17
[43 71 5 72 9 37 -42 17 -84 -88 -43 46 0 -20 -98 -3 -99],10
[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1],19
[-10 -10 -10 -10 -10 -10 -10 -10 -10 -10 -10 -10 -10 -10 -10 -10 -10 -10 -10 -10],0
[-50 50],0
[-1 100],0
[-87 -16 52],0
[77 68 0 -62 -26 -71 33 -74 -51 39 -21 -80],5
[1 1 1 1 2 2 2 2 -1 -1 -1 -2 -3 -4 -5 -1 1 2 3 4],14
[-1],0
[99 -10 -9 -12 -10 -5 -12 -3 -10 -9 -9 -10 -12 -11 -12 -9 -10 -12 -11 -10],12
[0 0 -1],2
[5 -6 -5],1
[36 -10 -37 66 -28 95 -89],2
[1 -1 -1],2
[5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 -99],19
[78 48 44 -93 76 -69 -77 -100 -41 48 -55 62 -74 -50],7
[99 -100],1
