input1,output1
"--------------------",0
"XXXXXXXXXXXX",300
"5/5/5/5/5/5/5/5/5/5/5",150
"7115XXX548/279-X53",145
"532/4362X179-41447/5",100
"24815361356212813581",75
"------X------------",10
"----------3/--------",10
"--------------1-----",1
"11111111111111111111",20
"111111X111111111111",30
"-4-/-2-/-7-6-/-3-/-4",66
"-/-/-/-/-/-/-/-/-/-/-",100
"X52X52X52X52X52",120
"XXXXX----------",120
"XXXXX81XXX-1",208
"XXXX9/XXX2/XXX",251
"XXXXXXXXXXX9",299
"--X34--------------",24
"------3/61----------",23
"----------XX7-----",51
