input1,output1
81361122123/8-X-981,90
8/34X54X7/-36-1261,97
5/5/5/5/5/5/5/5/5/5/5,150
X52X52X52X52X52,120
8/548/6/5114X35356-,106
32X224515338/278-81,82
9-XX61165-34--1-7-,86
-/-/-/-/-/-/-/-/-/-/-,100
XXXX9/XXX2/XXX,251
6/128/17X32361/3563,92
X8-547/1/631/53817/X,123
7-818171-781163-XX87,112
-8-29/7/X7/3643-811,106
7115XXX548/279-X53,145
219-8/45178/4/-56-62,86
-4-/-2-/-7-6-/-3-/-4,66
1281X9/632/8-62-481,104
XXXXXXXXXXXX,300
5/1/619-7/5-3/9/3/5/6,126
45X8-227-X---49/2-,74
617/5443369-32325/41,85
4541115-621/X34454/4,96
3481255142717/1/8161,88
359-9/-8432163444532,76
51-3-47271626/-2532-,60
443263455413368/-59-,77
234262635221X-27-9/4,73
24729/724/549/9/632/4,123
2345-361X139/7-9/X5X,111
----------3/--------,10
9/7217-14/4/X-7X62,119
--------------1-----,1
-58-9/-28-3/5126-612,71
818-3/53514223279/9-,94
361-7-161/7/2-7/-83/4,87
------X------------,10
--X34--------------,24
11-9X329-X817-9/44,97
XXXXX----------,120
4/362/23623/-244X2/2,99
-11871-62662179/9--4,80
9-9-178-24344-1-9/XX6,98
169/9-6-4-42-7721581,82
XXXXX81XXX-1,208
6/62-34/X9/X52-38/1,125
3153X--3543X8-6/33,82
814553X3-2551718/53,86
X9--79-4/351851-861,95
----------XX7-----,51
6245X6161-19/5/42-2,86
24815361356212813581,75
2/81239/52811--23233,77
XXXXXXXXXXX9,299
3636-65124520/--5227,69
62363563X9/429/628-,106
22247/9/3116435/1561,84
36413/3581368-9/9-71,97
4252147/54X45814463,96
446371XX7-7/5/9-7-,126
--6-6335549-1642XX29,97
14216-318-21215/2372,58
249/718125X52X-29-,94
81338-9-357-6-1/X2/8,111
--------------------,0
6/432181366-6152X13,80
264-619-X8/9-4561X11,104
63259-6/328/812-2/9-,100
8-4-6114175-8/3/9/54,93
9-6-6/6/X412626X51,109
16X547/619-14X-1X35,102
16X4213627243527221,76
11111111111111111111,20
0/189/260/11327/2434,83
328/-1-1-443512254X0/,67
4-9-71-3X-3X228-4/5,81
532/4362X179-41447/5,100
45X-2539/6-624/6-81,92
72366-7-51X535/62-9,96
81268123357/817/3118,92
42X156/X451/545-36,114
------3/61----------,23
4-5-819-35518-54113-,63
6/9-724--58-54349-X13,93
447/9/8/3252327-XX45,125
529-322-4/8/-53/169/8,92
111111X111111111111,30
6-9-X6-719/-2X5-72,86
9-X25455-52318/-561,80
5/8/423-5/4351363/52,99
8/4131511/6/X132344,96
7/5312X9-344454X-7,102
316-6/-38/728-622/X77,109
0/325/5-245-8-12351-,69
4-22723/9/439/24363-,87
439-1-62-6266/7-5324,77
149/353-63329/--9/32,71
345-454-25429-2-625-,62
72269/7-8-1/4/8-X32,109
2-2463258/-9-5X356/4,88
2-5/428--8-1358/-216,66
