0,"[np.float64(1.0), np.float64(1.0)]"
1,"[np.float64(1.0), np.float64(1.0)]"
2,"[np.float64(1.0), np.float64(1.0)]"
3,"[np.float64(1.0), np.float64(1.0)]"
4,"[0.0, 0.0]"
5,"[np.float64(1.0), np.float64(1.0)]"
6,"[0.0, 0.0]"
7,"[np.float64(0.885), np.float64(0.875)]"
8,"[np.float64(1.0), np.float64(1.0)]"
9,"[0.0, 0.0]"
10,"[np.float64(1.0), np.float64(1.0)]"
11,"[0.0, 0.0]"
12,"[0.0, 0.0]"
13,"[np.float64(1.0), np.float64(1.0)]"
14,"[0.0, 0.0]"
15,"[0.0, 0.0]"
16,"[0.0, 0.0]"
17,"[np.float64(1.0), np.float64(1.0)]"
18,"[0.0, 0.0]"
19,"[np.float64(0.885), np.float64(0.875)]"
