0,"[np.float64(1.0), np.float64(1.0)]"
1,"[0.0, 0.0]"
2,"[0.0, 0.0]"
3,"[0.0, 0.0]"
4,"[np.float64(0.885), np.float64(0.875)]"
5,"[np.float64(1.0), np.float64(1.0)]"
6,"[0.0, 0.0]"
7,"[np.float64(0.695), np.float64(0.68)]"
8,"[np.float64(1.0), np.float64(1.0)]"
9,"[0.0, 0.0]"
10,"[np.float64(1.0), np.float64(1.0)]"
11,"[0.0, 0.0]"
12,"[np.float64(1.0), np.float64(1.0)]"
13,"[np.float64(1.0), np.float64(1.0)]"
14,"[0.0, 0.0]"
15,"[np.float64(0.885), np.float64(0.875)]"
16,"[np.float64(0.885), np.float64(0.875)]"
17,"[np.float64(0.885), np.float64(0.875)]"
18,"[np.float64(1.0), np.float64(1.0)]"
19,"[np.float64(0.885), np.float64(0.875)]"
