0,"[np.float64(1.0), np.float64(1.0)]"
1,"[np.float64(0.885), np.float64(0.875)]"
2,"[0.0, 0.0]"
3,"[0.0, 0.0]"
4,"[np.float64(0.885), np.float64(0.875)]"
5,"[np.float64(1.0), np.float64(1.0)]"
6,"[0.0, 0.0]"
7,"[np.float64(0.885), np.float64(0.875)]"
8,"[np.float64(0.885), np.float64(0.875)]"
9,"[0.0, 0.0]"
10,"[np.float64(0.885), np.float64(0.875)]"
11,"[np.float64(0.175), np.float64(0.12)]"
12,"[np.float64(1.0), np.float64(1.0)]"
13,"[np.float64(1.0), np.float64(1.0)]"
14,"[np.float64(0.885), np.float64(0.875)]"
15,"[0.0, 0.0]"
16,"[np.float64(1.0), np.float64(1.0)]"
17,"[np.float64(0.885), np.float64(0.875)]"
18,"[np.float64(1.0), np.float64(1.0)]"
19,"[np.float64(0.695), np.float64(0.68)]"
