0,"[np.float64(1.0), np.float64(1.0)]"
1,"[np.float64(1.0), np.float64(1.0)]"
2,"[np.float64(1.0), np.float64(1.0)]"
3,"[np.float64(1.0), np.float64(1.0)]"
4,"[np.float64(1.0), np.float64(1.0)]"
5,"[np.float64(0.885), np.float64(0.875)]"
6,"[np.float64(1.0), np.float64(1.0)]"
7,"[np.float64(1.0), np.float64(1.0)]"
8,"[0.0, 0.0]"
9,"[np.float64(1.0), np.float64(1.0)]"
10,"[0.0, 0.0]"
11,"[np.float64(1.0), np.float64(1.0)]"
12,"[np.float64(0.885), np.float64(0.875)]"
13,"[np.float64(1.0), np.float64(1.0)]"
14,"[0.0, 0.0]"
15,"[0.0, 0.0]"
16,"[np.float64(1.0), np.float64(1.0)]"
17,"[np.float64(0.885), np.float64(0.875)]"
18,"[0.0, 0.0]"
19,"[np.float64(1.0), np.float64(1.0)]"
