0,"[np.float64(0.385), np.float64(0.385)]"
1,"[np.float64(0.305), np.float64(0.305)]"
2,"[np.float64(0.195), np.float64(0.18)]"
3,"[np.float64(0.315), np.float64(0.295)]"
4,"[np.float64(0.335), np.float64(0.32)]"
5,"[np.float64(0.31), np.float64(0.295)]"
6,"[np.float64(0.24), np.float64(0.21)]"
7,"[np.float64(0.425), np.float64(0.43)]"
8,"[np.float64(0.365), np.float64(0.38)]"
9,"[np.float64(0.24), np.float64(0.24)]"
10,"[np.float64(0.41), np.float64(0.34)]"
11,"[np.float64(0.355), np.float64(0.345)]"
12,"[np.float64(0.195), np.float64(0.175)]"
13,"[np.float64(0.34), np.float64(0.315)]"
14,"[np.float64(0.34), np.float64(0.35)]"
15,"[np.float64(0.455), np.float64(0.4)]"
16,"[np.float64(0.215), np.float64(0.215)]"
17,"[np.float64(0.365), np.float64(0.335)]"
18,"[np.float64(0.41), np.float64(0.34)]"
19,"[np.float64(0.435), np.float64(0.45)]"
