input1,output1,output2,output3,output4
16,1,1,1,0
26,1,0,0,1
20,0,0,2,0
13,3,0,1,0
29,4,0,0,1
109,4,1,0,4
25,0,0,0,1
30,0,1,0,1
12,2,0,1,0
3923,3,0,2,156
4,4,0,0,0
5784,4,1,0,231
21,1,0,2,0
8856,1,1,0,354
17,2,1,1,0
10000,0,0,0,400
184,4,1,0,7
22,2,0,2,0
35,0,0,1,1
5145,0,0,2,205
5,0,1,0,0
7,2,1,0,0
7652,2,0,0,306
9,4,1,0,0
19,4,1,1,0
2092,2,1,1,83
6,1,1,0,0
2837,2,0,1,113
18,3,1,1,0
15,0,1,1,0
4144,4,1,1,165
24,4,0,2,0
14,4,0,1,0
8,3,1,0,0
7290,0,1,1,291
1784,4,1,0,71
3867,2,1,1,154
23,3,0,2,0
9441,1,1,1,377
1,1,0,0,0
883,3,1,0,35
41,1,1,1,1
2,2,0,0,0
28,3,0,0,1
10,0,0,1,0
8459,4,1,0,338
27,2,0,0,1
1235,0,0,1,49
3,3,0,0,0
11,1,0,1,0
