input1,output1,output2,output3,output4
1,1,0,0,0
2,2,0,0,0
3,3,0,0,0
4,4,0,0,0
5,0,1,0,0
6,1,1,0,0
7,2,1,0,0
8,3,1,0,0
9,4,1,0,0
10,0,0,1,0
11,1,0,1,0
12,2,0,1,0
13,3,0,1,0
14,4,0,1,0
15,0,1,1,0
16,1,1,1,0
17,2,1,1,0
18,3,1,1,0
19,4,1,1,0
20,0,0,2,0
21,1,0,2,0
22,2,0,2,0
23,3,0,2,0
24,4,0,2,0
25,0,0,0,1
26,1,0,0,1
27,2,0,0,1
28,3,0,0,1
29,4,0,0,1
30,0,1,0,1
35,0,0,1,1
41,1,1,1,1
109,4,1,0,4
10000,0,0,0,400
4144,4,1,1,165
7290,0,1,1,291
5784,4,1,0,231
184,4,1,0,7
9441,1,1,1,377
1784,4,1,0,71
2837,2,0,1,113
8856,1,1,0,354
1235,0,0,1,49
3923,3,0,2,156
3867,2,1,1,154
8459,4,1,0,338
7652,2,0,0,306
883,3,1,0,35
5145,0,0,2,205
2092,2,1,1,83
6585,0,0,1,263
4691,1,1,1,187
5814,4,0,1,232
7904,4,0,0,316
4698,3,0,2,187
8343,3,1,1,333
7809,4,1,0,312
8789,4,0,1,351
4530,0,1,0,181
5458,3,1,0,218
3262,2,0,1,130
5043,3,1,1,201
7692,2,1,1,307
515,0,1,1,20
5745,0,0,2,229
8840,0,1,1,353
7425,0,0,0,297
5103,3,0,0,204
7650,0,0,0,306
1677,2,0,0,67
1676,1,0,0,67
7237,2,0,1,289
5801,1,0,0,232
3540,0,1,1,141
9477,2,0,0,379
1429,4,0,0,57
8225,0,0,0,329
559,4,1,0,22
7336,1,0,1,293
5523,3,0,2,220
3992,2,1,1,159
5884,4,1,0,235
6293,3,1,1,251
4408,3,1,0,176
5538,3,0,1,221
2566,1,1,1,102
2256,1,1,0,90
7300,0,0,0,292
2665,0,1,1,106
4720,0,0,2,188
6147,2,0,2,245
5667,2,1,1,226
6623,3,0,2,264
509,4,1,0,20
118,3,1,1,4
3342,2,1,1,133
5370,0,0,2,214
6832,2,1,0,273
3782,2,1,0,151
4698,3,0,2,187
2607,2,1,0,104
7920,0,0,2,316
128,3,0,0,5
6323,3,0,2,252
3642,2,1,1,145
694,4,1,1,27
3928,3,0,0,157
8991,1,1,1,359
9143,3,1,1,365
5075,0,0,0,203
1572,2,0,2,62
8043,3,1,1,321
5742,2,1,1,229
8930,0,1,0,357
7559,4,1,0,302
8004,4,0,0,320
1041,1,1,1,41
2818,3,1,1,112
7146,1,0,2,285
2463,3,0,1,98
6233,3,1,0,249
3390,0,1,1,135
5064,4,0,1,202
8195,0,0,2,327
1368,3,1,1,54
1229,4,0,0,49
84,4,1,0,3
9675,0,0,0,387
5889,4,0,1,235
819,4,1,1,32
2619,4,1,1,104
6588,3,0,1,263
2763,3,0,1,110
3667,2,1,1,146
3146,1,0,2,125
6999,4,0,2,279
67,2,1,1,2
9292,2,1,1,371
2521,1,0,2,100
2250,0,0,0,90
5794,4,1,1,231
6822,2,0,2,272
2872,2,0,2,114
3591,1,1,1,143
9668,3,1,1,386
5403,3,0,0,216
2282,2,1,0,91
2883,3,1,0,115
9824,4,0,2,392
68,3,1,1,2
1914,4,0,1,76
2796,1,0,2,111
2566,1,1,1,102
2939,4,0,1,117
5345,0,0,2,213
2832,2,1,0,113
3052,2,0,0,122
5339,4,0,1,213
9511,1,0,1,380
2747,2,0,2,109
1336,1,0,1,53
5273,3,0,2,210
410,0,0,1,16
1055,0,1,0,42
4154,4,0,0,166
4354,4,0,0,174
3543,3,1,1,141
4366,1,1,1,174
4179,4,0,0,167
3470,0,0,2,138
3952,2,0,0,158
6934,4,1,0,277
2315,0,1,1,92
7744,4,1,1,309
3963,3,0,1,158
5440,0,1,1,217
7275,0,0,0,291
7698,3,0,2,307
7143,3,1,1,285
8177,2,0,0,327
3087,2,0,1,123
490,0,1,1,19
1777,2,0,0,71
9080,0,1,0,363
8042,2,1,1,321
11,1,0,1,0
7201,1,0,0,288
5224,4,0,2,208
3883,3,1,0,155
3807,2,1,0,152
3156,1,1,0,126
5933,3,1,0,237
7522,2,0,2,300
2035,0,0,1,81
4821,1,0,2,192
21,1,0,2,0
3954,4,0,0,158
4232,2,1,0,169
8110,0,0,1,324
314,4,0,1,12
