0,"[0.0, 0.0]"
1,"[0.0, 0.0]"
2,"[0.0, 0.0]"
3,"[np.float64(0.0), np.float64(0.0)]"
4,"[np.float64(0.0), np.float64(0.0)]"
5,"[np.float64(0.0), np.float64(0.0)]"
6,"[0.0, 0.0]"
7,"[np.float64(0.0), np.float64(0.0)]"
8,"[np.float64(0.0), np.float64(0.0)]"
9,"[np.float64(0.0), np.float64(0.0)]"
10,"[0.0, 0.0]"
11,"[np.float64(0.0), np.float64(0.0)]"
12,"[0.0, 0.0]"
13,"[0.0, 0.0]"
14,"[0.0, 0.0]"
15,"[np.float64(0.0), np.float64(0.0)]"
16,"[np.float64(0.0), np.float64(0.0)]"
17,"[0.0, 0.0]"
18,"[0.0, 0.0]"
19,"[0.0, 0.0]"
