input1,output1,output2
[7480 8166 6680 7826],[7480 8166],[6680 7826]
[7753 2558 5177 6901 9036 1589 1652 266 7123 7587 8262 4654 4360],[7753 2558 5177 6901 9036 1589],[1652 266 7123 7587 8262 4654 4360]
[1419 6115 8126 5654 3435 9498 4562 4806],[1419 6115 8126 5654],[3435 9498 4562 4806]
[3148 2250 7378],[3148 2250],[7378]
[7210 2963 2495 5095 9631 9557 6112 746 7386 9668 3530 579 7116 5906 8148 4888 9965 9555],[7210 2963 2495 5095 9631 9557 6112 746 7386],[9668 3530 579 7116 5906 8148 4888 9965 9555]
[925 2431 9525 214 7215 889 6438 7773 9116 7523 697 4384 7633 2617 7424 2154],[925 2431 9525 214 7215 889 6438 7773],[9116 7523 697 4384 7633 2617 7424 2154]
[1354 7941 7705 5301 8580 4490 3475 923 2494 6696 2969 9962 7868 7836 2929],[1354 7941 7705 5301 8580 4490 3475 923],[2494 6696 2969 9962 7868 7836 2929]
[5161 8967 7819 8575 1478 1523 6365 8570 9398 9830 8221 2409 6002 7554],[5161 8967 7819 8575 1478 1523 6365 8570],[9398 9830 8221 2409 6002 7554]
[9230 3935 5909],[9230],[3935 5909]
[7578 5434 4278 4200],[7578 5434],[4278 4200]
[1485 2315 1360 8716],[1485 2315 1360],[8716]
[7316 1525 1347],[7316],[1525 1347]
[2412 723],[2412],[723]
[9784 2891],[9784],[2891]
[5889],[5889],[]
[8967],[8967],[]
[3984 2828 3737 715],[3984 2828],[3737 715]
[9590 8442 965 8335 245],[9590],[8442 965 8335 245]
[4328 1904 9949 3200 2998 5660 6442 8260 1969 1661],[4328 1904 9949 3200 2998],[5660 6442 8260 1969 1661]
[100],[100],[]
[4170 4567],[4170],[4567]
[2500 2538 4024 2856 2294],[2500 2538 4024],[2856 2294]
[1025 4560],[1025],[4560]
[3735],[3735],[]
[5129],[5129],[]
[9258 4245 4988 2597 4989 6255 9967 5540 5590 9606 7592 9058 7083 5677 6701 3252 1910],[9258 4245 4988 2597 4989 6255 9967 5540 5590],[9606 7592 9058 7083 5677 6701 3252 1910]
[9537],[9537],[]
[1201 4309 1213 3364 8224 162 4247 7370 1976 652 6762 977],[1201 4309 1213 3364 8224 162],[4247 7370 1976 652 6762 977]
[2083 4826 513 7211 1588],[2083 4826 513],[7211 1588]
[1753 8011 4663 2770 4222 8586 4680 1851 8037 2658 6438 8657 8522 4539 933 6507 8431],[1753 8011 4663 2770 4222 8586 4680 1851 8037],[2658 6438 8657 8522 4539 933 6507 8431]
[4673 8443 4757 3914 8449 9803 2335 8253 441 1577 6556 7491 2386 6696 5230],[4673 8443 4757 3914 8449 9803],[2335 8253 441 1577 6556 7491 2386 6696 5230]
[5190],[5190],[]
[6168 8335 4247 7945 9997 4679 5152 4234 4912 3880 3786 6361 7340 8088],[6168 8335 4247 7945 9997 4679],[5152 4234 4912 3880 3786 6361 7340 8088]
[692 2462 1466 6689 3063 7300 8834 4956],[692 2462 1466 6689 3063],[7300 8834 4956]
[2998 4180 958 8357 1693 7659 8792 1210 826 4332 5473 2608 2542 2284 854 637],[2998 4180 958 8357 1693 7659],[8792 1210 826 4332 5473 2608 2542 2284 854 637]
[64 502 8143 7053 4579],[64 502 8143],[7053 4579]
[459 9266],[459],[9266]
[4260 2506 1878 9633 7955 3669],[4260 2506 1878 9633],[7955 3669]
[5924 166 8527 3678 4891 6411 7374 6360 4886 1384 5356 4538 4435 8036 1626 1099 7241 5462],[5924 166 8527 3678 4891 6411 7374 6360],[4886 1384 5356 4538 4435 8036 1626 1099 7241 5462]
[5277 5188 6442 8975 7066],[5277 5188 6442],[8975 7066]
[3476 4190 6374 392 2567 2649 4583 950 8547 2922 6010 9811 1771 3329 3112],[3476 4190 6374 392 2567 2649 4583 950 8547],[2922 6010 9811 1771 3329 3112]
[5339 1933 1262 9092 6866 797 201 9116 4799 84 1329 65 6775 8161],[5339 1933 1262 9092 6866 797 201],[9116 4799 84 1329 65 6775 8161]
[2462],[2462],[]
[8031],[8031],[]
[8906 6989 4763],[8906],[6989 4763]
[9981 5801],[9981],[5801]
[9225 9994],[9225],[9994]
[2628 7119 573 1503 704 2009 8946 8981 7706 293 4172 2024 9928 1128 5937 3290 4092],[2628 7119 573 1503 704 2009 8946 8981],[7706 293 4172 2024 9928 1128 5937 3290 4092]
[567 241 5822 3871 3424 4463 8718 7388 1137 9524 9249 4708 3003 3716 1624 5264 1453 1939 6256 585],[567 241 5822 3871 3424 4463 8718 7388 1137 9524],[9249 4708 3003 3716 1624 5264 1453 1939 6256 585]
[5919 5313 1657 8466 5012 2458 2540 8661 9841 3338 6119 9863 720],[5919 5313 1657 8466 5012 2458 2540],[8661 9841 3338 6119 9863 720]
[4809 417 569 7544],[4809 417 569],[7544]
[7741 8681 4952 9159 8902 9940 3963 4751 9505 980 983 8636 2370 1872 6223 3014 8007 570 1232 8300],[7741 8681 4952 9159 8902 9940 3963],[4751 9505 980 983 8636 2370 1872 6223 3014 8007 570 1232 8300]
[5237 1018 6952 2549],[5237 1018],[6952 2549]
[3809 853 3523 7759 4102 7609 6379 9543 2187 2348 3984],[3809 853 3523 7759 4102 7609],[6379 9543 2187 2348 3984]
[3251],[3251],[]
[4050 4073 8183 383 2380 7137 6949 4066 4488],[4050 4073 8183 383 2380],[7137 6949 4066 4488]
[7309 6111 8099 4984 5933],[7309 6111],[8099 4984 5933]
[6465 8336],[6465],[8336]
[1798 7525 3285 8657],[1798 7525],[3285 8657]
[464 8475 1015 209],[464 8475],[1015 209]
[8475 3474 9791 1713],[8475 3474],[9791 1713]
[7206 8541 8001 5277 6084 9310 9662],[7206 8541 8001 5277],[6084 9310 9662]
[1207 1249 5716 3684 4349 8140 5345 6444 1249 5566 3733 3802 775 2132 7758 4269 5834 456 2665 1764],[1207 1249 5716 3684 4349 8140 5345 6444 1249],[5566 3733 3802 775 2132 7758 4269 5834 456 2665 1764]
[4316 9101 7622],[4316 9101],[7622]
[2459 726 654 5081],[2459 726 654],[5081]
[7813 7420 9808 8891 4786 48 8233 4993 8758 5157],[7813 7420 9808 8891],[4786 48 8233 4993 8758 5157]
[932],[932],[]
[2645 4145],[2645],[4145]
[9421 2708 5564],[9421],[2708 5564]
[9453 7833 3818 4962 2270 4525 302 4204 3746 6193 4974 2882 5262 9556 5852 4592 7280 6146 1787 4715],[9453 7833 3818 4962 2270 4525 302 4204 3746 6193 4974],[2882 5262 9556 5852 4592 7280 6146 1787 4715]
[2611],[2611],[]
[2066 9857 2540],[2066 9857],[2540]
[4495 4481 8832 8367 4665 390 4677 8883 2012 3025 6361 400 7203 6306 8983 1232 311 3188 4096 7100],[4495 4481 8832 8367 4665 390 4677 8883 2012],[3025 6361 400 7203 6306 8983 1232 311 3188 4096 7100]
[1611 5268 9579 5229 5018 6690 6485 3068],[1611 5268 9579 5229],[5018 6690 6485 3068]
[1590],[1590],[]
[9999 74],[9999],[74]
[4987 8952 9088 2276 5582 386 5215 4553 3489 7633 6738 3994 6943 7125 5948 9602 4416],[4987 8952 9088 2276 5582 386 5215 4553 3489 7633],[6738 3994 6943 7125 5948 9602 4416]
[6670 2526 1744 5116 411 7439 5984 6207 2318 2825 1084 3756 2698 5421 4897 2748 4309 1849 7866],[6670 2526 1744 5116 411 7439 5984 6207 2318],[2825 1084 3756 2698 5421 4897 2748 4309 1849 7866]
[3196 4725],[3196],[4725]
[4840 3236 3432 7780 2291 4060 6969 1018 2655 3347 1838 2369 930],[4840 3236 3432 7780 2291],[4060 6969 1018 2655 3347 1838 2369 930]
[23 5512 2897 4020 441 9131 7283 5709 6902 4335 1064 1534 2515 5028 2754 5947 5333 7049 3500 3522],[23 5512 2897 4020 441 9131 7283 5709 6902],[4335 1064 1534 2515 5028 2754 5947 5333 7049 3500 3522]
[1755 2699 6415 1467 371],[1755 2699],[6415 1467 371]
[3014 3403],[3014],[3403]
[7922 4318 7939 5403 7990],[7922 4318 7939],[5403 7990]
[4013 1953 9525],[4013 1953],[9525]
[4573 4808 8443],[4573 4808],[8443]
[1906 2375 7827 9630],[1906 2375 7827],[9630]
[9854 1903 9964 6602 574 260 6224 8071 4815 1841 8302 9707 7245 7838 9748 8438 7420 6977],[9854 1903 9964 6602 574 260 6224 8071 4815 1841 8302],[9707 7245 7838 9748 8438 7420 6977]
[3528 4011 8849 2 4188 3333],[3528 4011],[8849 2 4188 3333]
[1569 9155 3922 3723 9549 1552 1722 438 2333 6615 4032 701 8609 9143 6261 6742 2359 6352 3914 492],[1569 9155 3922 3723 9549 1552 1722 438 2333 6615 4032],[701 8609 9143 6261 6742 2359 6352 3914 492]
[2 129],[2],[129]
[6852],[6852],[]
