input1,input2,output1
68,16,0.875
41,55,0.36363637
97,75,0.6082474
3,38,0.02631579
89,11,0.9325843
5,68,0.029411765
33,72,0.22222222
17,3,0.88235295
94,37,0.79787236
80,57,0.6375
30,82,0.17682926
31,60,0.25
3,18,0.055555556
58,58,0.49137932
1,1,0.0
67,43,0.67164177
1,100,0.0
86,5,0.96511626
20,11,0.7
46,51,0.44117647
1,2,0.0
35,29,0.5714286
71,71,0.49295774
72,14,0.8958333
84,69,0.5833333
41,25,0.68292683
58,41,0.63793105
64,2,0.9765625
98,13,0.9285714
45,44,0.5
20,65,0.14615385
56,29,0.73214287
2,22,0.022727273
81,1,0.9876543
51,28,0.71568626
26,59,0.21186441
66,97,0.33505154
64,14,0.8828125
41,75,0.26666668
100,10,0.945
56,70,0.39285713
10,14,0.32142857
46,2,0.9673913
56,12,0.8839286
55,28,0.73636365
30,30,0.48333332
72,14,0.8958333
74,22,0.8445946
75,75,0.49333334
28,62,0.21774194
26,70,0.17857143
51,33,0.6666667
86,87,0.48850575
42,87,0.23563218
2,1,0.5
1,92,0.0
19,3,0.8947368
48,11,0.875
26,11,0.7692308
49,54,0.44444445
13,52,0.115384616
6,18,0.1388889
78,91,0.42307693
7,91,0.032967035
56,33,0.6964286
49,54,0.44444445
29,24,0.5689655
1,1,0.0
74,74,0.49324325
30,41,0.35365853
50,49,0.5
72,85,0.41764706
47,27,0.70212764
9,50,0.08
100,1,0.99
4,3,0.5
46,51,0.44117647
78,28,0.8141026
89,52,0.7022472
17,11,0.64705884
6,13,0.1923077
28,16,0.6964286
88,16,0.90340906
40,29,0.625
10,51,0.0882353
28,15,0.71428573
3,14,0.071428575
99,100,0.49
34,93,0.17741935
37,86,0.20930232
46,49,0.45918366
90,23,0.8666667
82,46,0.7134146
57,26,0.7631579
79,6,0.9556962
1,13,0.0
91,34,0.8076923
66,5,0.95454544
32,94,0.16489361
7,88,0.03409091
15,29,0.2413793
68,18,0.8602941
68,59,0.5588235
20,44,0.2159091
86,95,0.4473684
41,9,0.8780488
100,100,0.495
77,27,0.8181818
100,5,0.97
1,9,0.0
19,63,0.14285715
3,4,0.25
99,100,0.49
50,50,0.49
78,24,0.8397436
1,2,0.0
20,27,0.35185185
37,33,0.5405405
37,9,0.8648649
67,87,0.37931034
16,75,0.1
26,43,0.29069766
98,77,0.6020408
49,16,0.82653064
28,95,0.14210527
65,81,0.39506173
46,18,0.79347825
41,42,0.47619048
99,6,0.96464646
36,27,0.6111111
37,55,0.3272727
100,99,0.5
33,32,0.5
57,78,0.35897437
31,25,0.58064514
89,80,0.5449438
49,50,0.48
87,96,0.44791666
35,53,0.3207547
20,6,0.825
95,37,0.8
6,4,0.5833333
85,28,0.82941175
48,35,0.625
32,32,0.484375
28,95,0.14210527
24,32,0.359375
69,31,0.76811594
51,68,0.36764705
4,6,0.25
