input1,input2,output1
1,2,0.0
2,1,0.5
99,100,0.49
100,99,0.5
1,100,0.0
100,1,0.99
3,4,0.25
4,3,0.5
4,6,0.25
6,4,0.5833333
49,50,0.48
50,49,0.5
1,1,0.0
50,50,0.49
100,100,0.495
33,72,0.22222222
89,11,0.9325843
3,38,0.02631579
68,59,0.5588235
20,11,0.7
46,51,0.44117647
94,37,0.79787236
20,6,0.825
32,94,0.16489361
56,33,0.6964286
37,86,0.20930232
28,15,0.71428573
41,55,0.36363637
16,75,0.1
42,87,0.23563218
33,32,0.5
32,32,0.484375
5,68,0.029411765
88,16,0.90340906
41,75,0.26666668
41,42,0.47619048
99,100,0.49
1,9,0.0
31,25,0.58064514
48,35,0.625
10,51,0.0882353
79,6,0.9556962
35,29,0.5714286
24,32,0.359375
9,50,0.08
57,26,0.7631579
71,71,0.49295774
26,70,0.17857143
64,2,0.9765625
67,87,0.37931034
28,95,0.14210527
67,43,0.67164177
86,87,0.48850575
35,53,0.3207547
10,14,0.32142857
46,51,0.44117647
75,75,0.49333334
28,62,0.21774194
36,27,0.6111111
68,16,0.875
34,93,0.17741935
28,16,0.6964286
57,78,0.35897437
84,69,0.5833333
82,46,0.7134146
91,34,0.8076923
47,27,0.70212764
37,55,0.3272727
90,23,0.8666667
66,97,0.33505154
58,41,0.63793105
30,41,0.35365853
26,59,0.21186441
17,3,0.88235295
19,3,0.8947368
99,6,0.96464646
30,30,0.48333332
89,80,0.5449438
55,28,0.73636365
74,22,0.8445946
74,74,0.49324325
86,95,0.4473684
1,1,0.0
15,29,0.2413793
51,33,0.6666667
2,22,0.022727273
26,11,0.7692308
51,28,0.71568626
77,27,0.8181818
20,44,0.2159091
3,18,0.055555556
6,13,0.1923077
46,18,0.79347825
49,54,0.44444445
49,54,0.44444445
87,96,0.44791666
37,9,0.8648649
86,5,0.96511626
72,85,0.41764706
17,11,0.64705884
85,28,0.82941175
97,75,0.6082474
13,52,0.115384616
37,33,0.5405405
65,81,0.39506173
46,2,0.9673913
100,10,0.945
49,16,0.82653064
3,14,0.071428575
98,77,0.6020408
30,82,0.17682926
56,29,0.73214287
69,31,0.76811594
26,43,0.29069766
7,91,0.032967035
58,58,0.49137932
81,1,0.9876543
56,70,0.39285713
1,13,0.0
31,60,0.25
51,68,0.36764705
20,65,0.14615385
64,14,0.8828125
78,28,0.8141026
41,25,0.68292683
40,29,0.625
95,37,0.8
78,24,0.8397436
100,5,0.97
28,95,0.14210527
41,9,0.8780488
46,49,0.45918366
19,63,0.14285715
45,44,0.5
98,13,0.9285714
78,91,0.42307693
48,11,0.875
66,5,0.95454544
1,2,0.0
80,57,0.6375
20,27,0.35185185
1,92,0.0
56,12,0.8839286
68,18,0.8602941
72,14,0.8958333
7,88,0.03409091
6,18,0.1388889
29,24,0.5689655
72,14,0.8958333
89,52,0.7022472
12,39,0.14102565
5,77,0.025974026
69,19,0.85507244
24,12,0.7291667
89,25,0.85393256
75,55,0.62666667
24,39,0.2948718
54,26,0.75
42,14,0.8214286
81,81,0.49382716
39,40,0.475
24,24,0.47916666
89,4,0.9719101
85,91,0.46153846
47,48,0.47916666
43,11,0.8604651
99,24,0.8737374
53,76,0.34210527
31,53,0.28301886
31,94,0.15957446
10,45,0.1
18,32,0.265625
35,35,0.4857143
97,48,0.7474227
30,41,0.35365853
37,80,0.225
95,73,0.6105263
85,85,0.49411765
35,76,0.2236842
71,34,0.75352114
94,21,0.88297874
44,26,0.6931818
68,10,0.9191176
36,95,0.18421052
86,90,0.4722222
27,61,0.21311475
85,18,0.8882353
39,95,0.2
50,56,0.4375
94,9,0.9468085
66,100,0.325
96,74,0.609375
46,84,0.26785713
37,44,0.4090909
63,50,0.5952381
12,24,0.22916667
26,29,0.43103448
58,58,0.49137932
89,77,0.56179774
32,93,0.16666667
