input1,input2,output1,output2
[5 7],12,5,7
[2500 6352],8852,2500,6352
[-14 5],-9,-14,5
[40 -19],21,40,-19
[-4 4],0,-4,4
[-5 -20],-25,-5,-20
[-7831 -3001],-10832,-7831,-3001
[10000 -10000],0,10000,-10000
[8310 -8320],-10,8310,-8320
[0 1234],1234,0,1234
[1 3 5],4,1,3
[1 3 5],6,1,5
[1 3 5],8,3,5
[-1 0 1],0,-1,1
[-1 0 1],1,0,1
[-1 0 1],-1,-1,0
[14 -35 78],-21,14,-35
[14 -35 78],92,14,78
[14 -35 78],43,-35,78
[9492 -3791 -7317],5701,9492,-3791
[9492 -3791 -7317],2175,9492,-7317
[9492 -3791 -7317],-11108,-3791,-7317
[237 410 -777],647,237,410
[237 410 -777],-540,237,-777
[237 410 -777],-367,410,-777
