input1,input2,output1,output2
[1455 -2399 437 9128 -8345 -3180 2916 6560 9418 -9534 243 -9598],15978,6560,9418
[5 7],12,5,7
[5372 4725 2271 -590],4135,4725,-590
[-7279 2845 -5272 8822 -7482 -7167 -2587 6096 493 8974 -729 5381 8518],824,-5272,6096
[-5 -20],-25,-5,-20
[9730 -3047 -8453 -5822 -4344 2208 -8817 -4202 -2363 3006 7027 2867 -3893 -9484 7424 -1669 4243],-6565,-4202,-2363
[40 -19],21,40,-19
[-4897 -5945 -5459 6843 -1648 8507 -9278 -1483 4252 6115 8024 -2795 393 5066 -1283 8079 -2124 -7079],11181,6115,5066
[4923 861 -3130 -8940],5784,4923,861
[9124 -5117 -9333 4995 7894 -6865 9661 -502 3900 -8646 -8284 -5141 4534 -3284 -2888 7518 -1604 -4761],4544,-5117,9661
[2650 6057 7986 5430],8080,2650,5430
[4742 2691 -2860 5513 2172 -9231],7685,5513,2172
[-519 -6377 9514 8326 8174],3137,-6377,9514
[-6189 -1480 3485 8190],2001,-6189,8190
[-9664 8051 4990 4198 5230 -4335 -5492 994 1256 -256 9894 -9569 -7492 -5408 7260 -2441 100],8516,1256,7260
[-7244 4503 4467 -4201 -8571],-12772,-4201,-8571
[9546 -5742 -8659 5298],14844,9546,5298
[-248 -7053 1999 430],-5054,-7053,1999
[-4165 3030 4327 -8278 3151 -8603 7659 -8930],-5900,3030,-8930
[7079 5800 -6781 -6401 6310 -242 -9415 1351 -8845],-1766,7079,-8845
[-7286 7118 -1852 -1963 7388 -7604],5536,-1852,7388
[3577 1520],5097,3577,1520
[-2723 -7372 -1603 -6493 4596 -2024 -6535 381 -6476 -5227 -3282 2315 7485 -1944 -9897 -9636],-6095,381,-6476
[277 3127 -188 1445 7641 3412 -2483 -5357 -3457 6542],-5080,277,-5357
[-3790 7641 -1663 6516 -7075 2503 5557 -2258 7892 2918 4900 2535 -9843 -5768 7840 -3709],-4943,4900,-9843
[-6576 -967 -3705 8066 -9612 9870],-10579,-967,-9612
[6366 3277 -7791],9643,6366,3277
[2327 -5857 5867 6678 2148 3920 9934 -1274 4701 8586 6159 6316 -7477 -8499 6812 226 -8048],8826,6678,2148
[5292 6749 3244 4106 -7071 7883 -21],12041,5292,6749
[-1342 -555 392 5810 7338 8291 9153 -2782 -2462 -9655 -9016 -6100 -8288 -9672 -6784 8562 1045 -2626 -7917 6845],-1581,1045,-2626
[3182 -3683 -7850 5584 -9652 -4731 -1820 -8538 -3 9308 5621 4900 3525 -4942 -9482 -4089 9078 1166],890,-4731,5621
[9492 -3791 -7317],5701,9492,-3791
[3085 -4615 -4840 7622 -6043 6375 -5280 -3767 -2926 -8478 -3141],-13758,-5280,-8478
[1018 -3991 -153 -9209 1364 1584 7655 2705 -9333 -7028 -1519 5135],2552,-153,2705
[1492 7016 879 -2143 -5842 -2551 -3084 -4262 -2351],-4694,-2143,-2551
[-1 0 1],1,0,1
[1 3 5],6,1,5
[-4228 -1725 6089 -3398],-5123,-1725,-3398
[2511 -2055 -5912],-7967,-2055,-5912
[-4073 -6710 3486 8108 -3861 -1245 -7083 -722 2033 -8191 4380 -2815 6411 -5035 -5672],9897,3486,6411
[8423 -4471 4112 -8802 -74 7363 -2369 -9386 -8717 -6331 -3796 4642 -3754],8754,4112,4642
