input1,output1
586918,586918
33320,Buzz
732058,732058
12,Fizz
2,2
435459,Fizz
659807,659807
503248,503248
690928,690928
561881,561881
731480,Buzz
35033,35033
518813,518813
575348,575348
55400,Buzz
362132,362132
358901,358901
980329,980329
460374,Fizz
584292,Fizz
376762,376762
215538,Fizz
15,FizzBuzz
606373,606373
336984,Fizz
212424,Fizz
864742,864742
443182,443182
733379,733379
18959,18959
480867,Fizz
272967,Fizz
244519,244519
44793,Fizz
995704,995704
8,8
577746,Fizz
876376,876376
3,Fizz
348366,Fizz
79955,Buzz
196830,FizzBuzz
1,1
543083,543083
803685,FizzBuzz
49995,FizzBuzz
399759,Fizz
527944,527944
115772,115772
16,16
366138,Fizz
63469,63469
957738,Fizz
529928,529928
50000,Buzz
980754,Fizz
987232,987232
178393,178393
779636,779636
934969,934969
9,Fizz
7,7
855486,Fizz
489380,Buzz
244300,Buzz
943379,943379
904485,FizzBuzz
872560,Buzz
500892,Fizz
49998,Fizz
20,Buzz
224929,224929
837524,837524
858829,858829
66337,66337
310805,Buzz
4,4
921915,FizzBuzz
858885,FizzBuzz
464017,464017
68879,68879
625692,Fizz
67899,Fizz
460022,460022
912238,912238
279995,Buzz
979756,979756
889146,Fizz
51334,51334
568671,Fizz
14,14
126315,FizzBuzz
38748,Fizz
820288,820288
11,11
330798,Fizz
321942,Fizz
2086,2086
18,Fizz
275406,Fizz
347382,Fizz
567131,567131
309024,Fizz
379067,379067
5,Buzz
330302,330302
377483,377483
663616,663616
895959,Fizz
17,17
876145,Buzz
13,13
926626,926626
780882,Fizz
215340,FizzBuzz
10,Buzz
51663,Fizz
268241,268241
804704,804704
50314,50314
684488,684488
811354,811354
8986,8986
576799,576799
655319,655319
135050,Buzz
507015,FizzBuzz
256148,256148
677815,Buzz
878903,878903
6,Fizz
943252,943252
401398,401398
99902,99902
695826,Fizz
69255,FizzBuzz
587306,587306
449597,449597
219340,Buzz
63225,FizzBuzz
571750,Buzz
550671,Fizz
443418,Fizz
965340,FizzBuzz
892874,892874
444937,444937
855772,855772
678876,Fizz
49999,49999
19,19
