input1,output1
[6],0
[7],0
[8],0
[9],1
[10],1
[11],1
[12],2
[13],2
[14],2
[15],3
[16],3
[17],3
[9998],3330
[9999],3331
[10000],3331
[6 6],0
[9 14],3
[9 15],4
[14 9],3
[15 9],4
[32 32],16
[33 33],18
[10000 9],3332
[9 10000],3332
[10000 10000],6662
[6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6],0
[7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7],0
[8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8],0
[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],20
[10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10],20
[11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11],20
[12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12],40
[13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13],40
[9998 9998 9998 9998 9998 9998 9998 9998 9998 9998 9998 9998 9998 9998 9998 9998 9998 9998 9998 9998],66600
[9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999],66620
[10000 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000],66620
[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],15
