input1,output1
[6 6],0
[1624 9515 2342 7453 9275 6342 2335 8619 2995 257 7060 3976],20569
[4883 8980 5820 6719 2661 1096 2282 5393 9476 5361 7225 1663 1622],21029
[557 2837 4258 7626 6327 9061 1224 3421 5787 4850 1573 1702 490 4140 4248],19333
[8],0
[6349 2981 7927],5745
[1342 433 572],775
[8881 130 3798 9345 9555 7626 5154 425 5221 2727 6513 2478 3856 784 6715],24370
[9999],3331
[5274 949 4885],3696
[1240 697 7876 2929 1485 9509 5606],9764
[6432],2142
[2291 9909 4677 3456 8339 1718 3189 8357 9019 9988 4771 3145 304 2019 6217 2131 7685 7494 6468],33682
[1180 4275 3944 7500 2506 5948 4906],10070
[1491 2682 2379 3428 6027 9939 9167 1810 8356 7890 3380 4810 624 7448 4690 6268],26760
[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],20
[7966 9766 1181 6571 8477 9630 539 5297 29 8818 3768],20654
[4548 7626 3605 9163 9973 5091 6379 9501 6929 9158 9494],27130
[10000 10000],6662
[2695 9672 203 3880 964 8131 1899 6713 5569 4524 3567 1047 2433 3814 1610 5511 5367 6685],24721
[310 248 4789 9072 1686 1400 7552 8790 5065],12950
[56 4049 5821 6943 9290 9023],11712
[32 32],16
[9323 294 819],3472
[12],2
[13],2
[10000],3331
[14],2
[15],3
[2921 2841 7469],4403
[9998],3330
[14 9],3
[5967 6257 4547 2538 8067 1498 539 2791 1337 672 4866],13001
[5479 6869 2217 3252 5262],7682
[5123 6146 8939 2160 4730 4511 9813 8479 6653 8982 5955 2358 2967 6103 4888 1593],29763
[9],1
[4579 2370 8186 9681 7132],10638
[9298 1521 4426 6490 1244 397 1775 17 7603 6395 8439 6030 664 7864 5160 8973],25395
[923 2086],998
[517 4331 8866 7847],7177
[6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6],0
[11],1
[2477 3761],2074
[3856 4005 2896 5804 4222 9067 2261 2458 2522 7127 1062 7235 4857 551],19274
[4350 9937 5994 3502 3521 410 9729 9918 9702 1772 625 4941 6625 3485 305 4908 9378 5931 8835 214],34649
[10000 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000],66620
[8637 7506 9908 1375 426 8255 8989 9082],18041
[10000 9],3332
[8493 6187 5442 8223 3714 5148 6668 3210],15678
[6396 2231],2871
[5107 2579 1438 4753],4616
[8461 9037 7610 7816 5730 5762 4651],16339
[7260 7333 9411],7995
[6],0
[2325 9832],4048
[9 15],4
[9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999],66620
[8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8],0
[403 7476 5393],4417
[5923 8438 655 9977 7259 4955 8772 89 6610 2875 5280 8813 6526 4503 2543 3035 6571 2766 9978 689],35371
[3042 684 2672 5836 8353 7977 8 8890 6677 9871 9641 6589 3632 9610 6154 4940 9647 4890 5846 8628],41148
[3011 4028 5303 8582 2229 2775],8628
[91 3407 7226 1524 1725 8101 3689 1287 3246 6000 6587 6935 9517 7126 7115 5273 620 1144 1053],27177
[7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7],0
[6402 1854 8285 2153 6361 8106 7260 8101 3073 5780 3472],20257
[3529 3999 3069 3888 6172 2162 454 6518 4670 8684],14358
[9 14],3
[17],3
[16],3
[2479 9529 3439 244],5221
[6370 7687 4758 3083 2691 3582 4877 1623 5724 8854 6424],18533
[4534],1509
[10],1
[6171 8215 5465 4262],8028
[639 4243 3607 892 1197 762 2916 3488 505 640 4371 4196 64 449 4409 6261],12843
[13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13],40
[9998 9998 9998 9998 9998 9998 9998 9998 9998 9998 9998 9998 9998 9998 9998 9998 9998 9998 9998 9998],66600
[5279 3043 8340],5547
[6755 6795 4951 1111 7260],8946
[3435 6157 137 9168 924 9724 8325],12608
[6034 7914 1819 4579],6773
[11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11],20
[6408],2134
[15 9],4
[8251 315 3933],4160
[10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10],20
[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],15
[255 2111 4957 9880 5517 889 232 1506 19 6717 5268],12426
[9572 6384 2309 4375 3795 2703 6098 7316 3856 3616 70 5936 6178 5875 3607 162 1023 9629 8838],30403
[579 2677 7447],3561
[908 4485 2506 6428 3716 1216 5728 684 1545 7913],11686
[3079],1024
[9215 2993 4535 2628 3620],7651
[5696 1553 5084 8095 1915 5814 4915 2259 9444 5027 2975 8438 9800 561 8068],26512
[4019 7962 7315 9130 7718 5444 2350 7021 2446 7057 2733 5004 925 8554 1595 8051],29070
[3822 9149 7536 4929 3144],9516
[7],0
[9 10000],3332
[12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12],40
[33 33],18
