input1,input2,output1
738828,848058,6
656305,571732,1
815613,737253,3
744880,993247,1
8705,895334,1
592315,434262,1
282891,650417,1
638669,441487,1
671,635600,1
251734,863497,1
43630,890461,1
284628,195107,1
401098,954037,1
816254,773260,2
107237,264596,1
721687,509316,1
950778,702499,1
862550,922753,13
799709,35668,1
34218,195411,3
383373,787895,1
457178,528434,2
289139,952334,1
820000,63550,2050
779721,500671,1
964151,934360,1
277083,951189,3
231050,476395,5
730410,34638,1506
194977,917185,1
698478,99238,2
856557,353245,1
719977,486418,1
662658,915263,1
645709,660132,1
550097,505575,1
206042,725075,1
628452,980066,2
712289,931266,1
867238,20322,2
313292,294751,1
265593,447068,1
866161,369553,1
467529,239540,1
398189,383069,1
552497,20582,1
88008,861936,24
415445,37033,1
368879,281647,1
4,400000,4
583437,160579,1
253041,247343,1
753262,388102,2
692596,418877,1
978199,735199,1
263049,133896,3
795083,804357,1
978509,704930,1
374655,987663,3
402273,852924,3
624227,938843,1
554080,335476,4
54,24,6
1,1,1
399904,624764,4
894568,864586,2
32033,503114,1
785617,78223,1
706254,790175,1
174325,643775,25
29567,147628,1
414928,390019,1
4200,3528,168
158541,293567,1
995709,20626,1
430540,306623,1
568167,102444,3
847810,894529,1
46369,34572,1
125731,729450,1
220109,508840,1
123456,654321,3
496318,784462,2
87829,717221,1
849104,629741,1
108314,421140,2
807508,296008,4
746375,830368,7
580157,642169,1
199618,362837,1
542150,768039,1
580793,154149,1
622833,271743,3
109594,839843,1
359734,405103,1
333283,81004,1
540504,897040,8
249132,347210,2
507329,628882,1
982682,465979,1
