input1,output1
[789 165 41 594 703 270 390 94 956 236 242 656 892 832 594],[956 892 832 594]
[882 548 285 43 836 295 126 119 560 367 378 159 532 851 704 270 498 833],[882 851 833]
[906 997 609 959 60 344 733 681],[997 959 733 681]
[10 9 8 7 6 5 4 3 2 1 0],[10 9 8 7 6 5 4 3 2 1 0]
[313 827 377 776 931 324],[931 324]
[497 310 64 146 368 737 261 909 499 274 132 599 856 730 768 252],[909 856 768 252]
[801 353 826 356 569 504 323 603 878 578 80 966 768 758 514 177 351 345],[966 768 758 514 351 345]
[662 108 470 634 935 85 864 113 777 483 298 706 192 301 955 759],[955 759]
[707 888 798 994 248 51 401],[994 401]
[273],[273]
[544 446 271 273 916 65 802 292 498 63 795 208 876 556 382 907 642 455 59],[916 907 642 455 59]
[895 991 136 952 847 385 682 165 160 413 181 470 904 230],[991 952 904 230]
[114 684 590 87 722 215 394 187 912 620 325 152],[912 620 325 152]
[878 159 909 647 180 268 923 664 791 634 488 536 858 21 623],[923 858 623]
[431 311 642 800 853 185 12 418 247 551],[853 551]
[8 115 3 615 142 552 831 372 262 715 100 59 663 514 261],[831 715 663 514 261]
[420 824 573 894 562 448 600 14 56 898 745 22 953 160],[953 160]
[778 540 222 569 548 69 253 49 262 632 329 45 96],[778 632 329 96]
[655 810 616 149 784 799 596 215 678 428 843 738 285 409 275 837],[843 837]
[658 322],[658 322]
[20 137 20],[137 20]
[522 472 981 620 810 899 253 197 273 790 455 692 327],[981 899 790 692 327]
[468 187],[468 187]
[413 547 795 637 207 633 307 556 685 673 587 348],[795 685 673 587 348]
[254 192 677 836 564 143 855 127 102 786 421 955 646 210 680 443 1],[955 680 443 1]
[700 844 355 319 196 837 151 568 621 963 750 443 700 847 9 538 165],[963 847 538 165]
[450 650 99 705 191 517 169 235 948 166],[948 166]
[889 445 659 258 181 912 852 923 194 461 954 27 498 407 944 608 596 569],[954 944 608 596 569]
[907 51 192 377 614 322 586 501 310 322 742 894 451 847 298 637 979 998],[998]
[92 334 55 471 311 842 688 264],[842 688 264]
[973],[973]
[944 344 806 0 484 672 748 137 587 676 115 515 17 928 639 428 956],[956]
[447 362 554 112 979 233 250 869 570 384 227 570 232 753 726 197 95 390],[979 869 753 726 390]
[955],[955]
[695 338 361],[695 361]
[30 727 567 822 54 170 469 657 413 29 700 583 313 619 957 110 110],[957 110 110]
[275 146 613 238 865],[865]
[709 802 911 568 425 344 312 489 763 159 176 608 623 265],[911 763 623 265]
[378 386 254 32 261 270 531 341 380 587 765 453 819],[819]
[501 246 87 149 704 653 182 756 379 696 194 537 91 342],[756 696 537 342]
[5 5 5 5 5 5 5],[5 5 5 5 5 5 5]
[21 37],[37]
[91 475 955],[955]
[246 523 429 328 898 275 176 435],[898 435]
[965 82 585 347 77 32 135 530 872 956 626],[965 956 626]
