0,"[np.float64(0.0), np.float64(0.0)]"
1,"[np.float64(0.0), np.float64(0.0)]"
2,"[0.0, 0.0]"
3,"[np.float64(0.0), np.float64(0.0)]"
4,"[np.float64(0.0), np.float64(0.0)]"
5,"[np.float64(0.0), np.float64(0.0)]"
6,"[np.float64(0.0), np.float64(0.0)]"
7,"[0.0, 0.0]"
8,"[np.float64(0.0), np.float64(0.0)]"
9,"[0.0, 0.0]"
10,"[0.0, 0.0]"
11,"[np.float64(0.0), np.float64(0.0)]"
12,"[0.0, 0.0]"
13,"[np.float64(0.0), np.float64(0.0)]"
14,"[0.0, 0.0]"
15,"[0.0, 0.0]"
16,"[0.0, 0.0]"
17,"[np.float64(0.0), np.float64(0.0)]"
18,"[0.0, 0.0]"
19,"[np.float64(0.0), np.float64(0.0)]"
