input1,output1
[0 1 2 3 4 5 6 7 8 9 8 7 6 5 4 3],80
[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],144
[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0
[5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5],48
[4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4],96
[1 0 2 0 4 3 2 1 0 4 1 2 3 4 2 1],45
[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0],2
[2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],4
[0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0],6
[0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0],8
[0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0],5
[0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0],6
[0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0],5
[0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0],7
[0 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0],9
[8 0 0 0 0 6 0 0 0 0 9 0 0 0 0 0],22
[0 0 2 0 0 0 4 0 0 0 0 0 1 0 0 0],14
[0 5 0 5 0 5 0 5 0 5 0 5 0 5 0 5],40
[9 9 8 7 6 6 7 8 9 9 8 7 6 5 5 6],101
[0 0 0 0 0 7 0 0 0 3 0 0 0 0 0 0],10
