input1,output1
[3 3 1 7 1 7 5 8 3 9 7 4 9 4 6 6],82
[0 0 0 0 0 7 0 0 0 3 0 0 0 0 0 0],10
[0 9 6 9 0 4 1 8 9 5 4 9 2 3 2 5],82
[0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0],6
[1 8 7 3 1 8 2 1 2 3 6 6 4 8 4 3],76
[0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0],5
[0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0],7
[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],144
[5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5],48
[9 9 8 7 6 6 7 8 9 9 8 7 6 5 5 6],101
[1 0 2 0 4 3 2 1 0 4 1 2 3 4 2 1],45
[3 3 8 8 0 7 3 6 8 7 8 5 5 8 1 2],82
[2 8 8 7 4 0 5 2 9 1 3 3 6 2 2 1],66
[1 3 0 4 5 4 0 9 4 3 9 3 5 3 4 8],66
[8 5 4 8 8 9 1 3 9 2 5 6 9 0 0 2],78
[0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0],8
[0 7 3 7 8 1 0 9 5 5 2 0 2 0 9 5],65
[9 2 6 2 3 9 4 9 0 5 5 6 4 6 2 1],79
[2 5 5 8 0 7 3 5 0 4 6 1 4 6 0 2],60
[6 6 1 3 2 9 4 6 0 6 3 3 0 2 0 2],60
[0 0 2 0 0 0 4 0 0 0 0 0 1 0 0 0],14
[0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0],6
[6 7 7 4 6 0 9 5 9 1 7 4 9 6 2 8],82
[2 4 3 7 3 0 0 4 6 6 7 5 0 3 5 1],55
[2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],4
[6 2 6 6 7 9 1 1 4 1 3 0 5 9 2 3],63
[7 6 9 3 7 2 8 2 3 4 5 1 7 1 2 7],68
[3 0 1 3 1 3 8 5 1 5 2 9 4 1 7 9],71
[0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0],5
[8 5 0 6 5 4 4 1 3 7 9 5 4 2 8 6],82
[4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4],96
[1 8 4 2 3 0 8 9 3 3 3 4 2 3 5 9],78
[9 7 3 0 4 4 2 7 0 5 0 3 9 8 1 9],81
[1 3 2 0 6 9 6 7 2 7 5 1 3 6 8 7],70
[8 0 0 0 0 6 0 0 0 0 9 0 0 0 0 0],22
[1 3 6 9 9 4 0 9 6 5 0 4 1 9 4 1],71
[5 8 5 1 2 8 8 8 6 0 9 7 1 4 3 8],77
[1 3 0 4 7 5 7 4 0 4 1 9 6 5 8 8],66
[4 7 8 0 6 9 6 6 6 1 2 9 2 7 5 3],75
[8 2 1 0 8 1 4 4 0 5 2 1 8 8 5 1],58
[0 5 0 5 0 5 0 5 0 5 0 5 0 5 0 5],40
[6 4 9 3 5 3 3 0 9 4 8 6 3 5 3 7],79
[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0
[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0],2
[0 8 9 7 6 0 3 7 8 7 0 6 3 9 1 2],79
[3 2 4 9 1 9 2 3 0 3 9 3 7 2 4 0],73
[0 1 2 3 4 5 6 7 8 9 8 7 6 5 4 3],80
[4 7 9 3 4 5 6 1 3 6 2 6 8 7 0 6],86
[0 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0],9
[9 9 2 9 4 5 0 0 4 8 5 4 4 6 5 5],85
