input1,input2,output1,output2
YMOO,YMRG,0,2
GOGR,GOYR,0,3
BBRY,GYOR,2,0
GGYG,BYBB,1,0
OOBR,YOWG,0,1
OBWY,BRWO,2,1
OGBY,OOWR,0,1
RBRB,ORBY,2,0
BBBB,OOOO,0,0
GGRB,GORR,0,2
RGOW,OGWR,3,1
GGGB,BGGG,2,2
BOYG,GYOB,4,0
BOGG,BOGR,0,3
OWRO,YOGR,2,0
RWWY,GRRB,1,0
WYYW,BBOG,0,0
ROOR,RBGY,0,1
WBWR,WBWR,0,4
YGGB,GYGB,2,2
WORR,BYOW,2,0
YOWW,YWWR,1,2
GOWB,YYYY,0,0
BRYB,WOGG,0,0
OBRO,OGOO,0,2
OBGG,OBGG,0,4
WYGG,BORG,0,1
GRGG,GRGG,0,4
ROOB,BYRR,2,0
BRRR,BYYG,0,1
RWGG,YWBO,0,1
WBOG,WYOB,1,2
RBYG,YWYO,0,1
WGBO,WYYG,1,1
GORB,WWOR,2,0
RBYO,BWBB,1,0
OOBY,OOBY,0,4
GOGY,OGGO,2,1
RORY,WRYY,1,1
GROY,BGOW,1,1
RRRR,RRRR,0,4
YBWR,GWRG,2,0
YGGB,GYBG,4,0
BGGO,GGRW,1,1
GOYR,OBRB,2,0
BWYG,YWBG,2,2
WWWW,BYWR,0,1
RRRB,GRBY,1,1
WYWW,YGWW,1,2
BRGY,BBYO,1,1
