0,"[np.float64(0.05), np.float64(0.02)]"
1,"[np.float64(0.085), np.float64(0.07)]"
2,"[np.float64(0.035), np.float64(0.03)]"
3,"[np.float64(0.07), np.float64(0.04)]"
4,"[np.float64(0.075), np.float64(0.05)]"
5,"[np.float64(0.035), np.float64(0.015)]"
6,"[np.float64(0.08), np.float64(0.045)]"
7,"[np.float64(0.055), np.float64(0.03)]"
8,"[np.float64(1.0), np.float64(1.0)]"
9,"[np.float64(0.05), np.float64(0.02)]"
10,"[np.float64(0.06), np.float64(0.045)]"
11,"[np.float64(0.055), np.float64(0.04)]"
12,"[np.float64(0.035), np.float64(0.015)]"
13,"[np.float64(0.06), np.float64(0.03)]"
14,"[np.float64(0.06), np.float64(0.035)]"
15,"[np.float64(0.05), np.float64(0.025)]"
16,"[np.float64(0.065), np.float64(0.025)]"
17,"[np.float64(0.045), np.float64(0.03)]"
18,"[np.float64(0.06), np.float64(0.045)]"
19,"[np.float64(0.06), np.float64(0.04)]"
