input1,output1
11223344556677889900,45
79999996633388836699,88
4222233333333,27
7777053990493106,30
5470059,0
3720011136,2
454,0
0009999995166444,59
67002575777768888,45
33335233555533665584,41
006,0
123,0
77,7
7111108,3
55655,10
7728841,15
778855955444333333,48
88888888885555555555,117
1133077,11
9443229888888,46
00,0
808,0
19000,0
71,0
411777337788888889,73
6677455,18
99999999999999999999,171
44,4
11111222,8
295,0
00000000000000000000,0
999,18
9111777724000007,23
577707466694881105,35
6244444433222,27
7773,14
73338888852369335,41
55555,20
71,0
444922222300,16
2744416699,23
600009,0
466699952,30
4994,9
5955557,15
2637,0
91181171161151141131,6
11222,5
824443971156663,21
660,6
71122222200000,11
43802316474,0
0003099533113,13
087556922110155,13
688,8
777722,23
8800009,8
4105,0
1111111,6
88,8
00000000,0
42,0
64,0
66633882000000088,31
83,0
05,0
78888833557449388888,76
367,0
111,2
2861,0
88,8
9557922,7
90,0
9518999355,23
137777000000,21
841,0
8888888444444444,80
0000002222000341111,9
77777377777377777377,91
99,9
11111888882222266666,68
0002777947777455411,41
554773,12
992,9
666,12
1999999,45
777777777777,77
00,0
55,5
57707225023,9
38888888888881,88
6998666669944,46
88178817389637,16
88888888001,56
233,3
555,10
221111111111144,16
17777777642,42
99,9
628949197032,0
666,12
7726071678666,19
42,0
85858585858585858585,0
64,0
3670967461676991,9
00000000,0
84339954430048225222,22
272456592150731870,0
2255555,22
003384441111101,15
844,4
000000002,0
004,0
0077777700,35
292297,2
9902259999111700777,54
8420508093571949,0
66666666,42
671112677744,20
866666,24
99999999,63
0000000,0
9282664429,10
9388,8
1168820033,12
44400011111333333377,37
888229997,36
77,7
3333368933000,15
11111111111111111111,19
32,0
333333888888777766,82
55555555555,50
1991111111111111088,29
4400066666637,34
522,2
222222222222,22
38,0
772222294,15
33333337777772266,61
33,3
999111111111,26
77777000,28
1126111,3
09876543210987654321,0
8117711500099,18
00210059,0
7244456182869648650,8
22,2
