0,"[np.float64(0.03), np.float64(0.03)]"
1,"[np.float64(0.1), np.float64(0.07)]"
2,"[np.float64(0.22), np.float64(0.155)]"
3,"[np.float64(0.075), np.float64(0.055)]"
4,"[np.float64(0.42), np.float64(0.385)]"
5,"[np.float64(0.44), np.float64(0.385)]"
6,"[np.float64(0.06), np.float64(0.04)]"
7,"[np.float64(0.1), np.float64(0.07)]"
8,"[np.float64(0.06), np.float64(0.04)]"
9,"[np.float64(0.1), np.float64(0.07)]"
10,"[np.float64(0.03), np.float64(0.03)]"
11,"[np.float64(0.085), np.float64(0.08)]"
12,"[np.float64(0.065), np.float64(0.045)]"
13,"[np.float64(0.06), np.float64(0.04)]"
14,"[np.float64(0.1), np.float64(0.07)]"
15,"[np.float64(0.06), np.float64(0.04)]"
16,"[np.float64(0.06), np.float64(0.04)]"
17,"[0.0, 0.0]"
18,"[np.float64(0.06), np.float64(0.04)]"
19,"[np.float64(0.105), np.float64(0.08)]"
