input1,input2,output1
[43.84 25.44 2.51 27.58 25.11 7.42 10.64 37.66],[11.61 24.24 29.83 36.92 52.43 96.37 51.9 68.04],106.55
[5.73 5.73 5.73 5.73 5.73 5.73 5.73 5.73 5.73 5.73 5.73 5.73 5.73 5.73 5.73 5.73 5.73 5.73 5.73 5.73],[59.19 91.24 25.93 16.18 24.65 61.96 67.91 43.87 36.23 34.3 96.27 69.25 73.78 0.52 8.91 39.18 79.67 64.22 14.15 52.44],59.6
[16.85 19.01 12.41 4.58],[1.74 72.73 13.94 75.29],33.55
[33.73 8.2 41.2 17.61 5.89 34.65 45.29 38.4 35.6 27.84 37.52 5.72 44.78 20.11 22.7 34.03 10.87],[96.51 50.98 46.65 12.64 30.78 73.23 7.45 81.31 34.62 22.16 47.51 64.36 75.06 50.76 19.11 43.37 54.96],235.28
[0.01 0.01 0.01 0.01 0.01 0.01 0.01],[85.77 43.99 22.78 34.14 34.12 8.54 11.03],0.05
[21.3 28.11 18.37 10.99 18.71 6.26],[21.85 25.07 58.28 17.9 5.87 59.28],74.56
[31.04 6.7 41.46 31.66 12.44],[15.81 57.29 45.98 5.53 32.68],89.67
[16.19 29.12 21.32 24.63 39.21 16.91 44.73 16.45 16.1 37.62 43.52 35.43 40.33 28.25 13.27 1.85 36.73],[67.62 35.37 62.95 71.66 82.93 92.61 76.39 89.7 95.35 84.63 47.26 66.87 88.66 50.86 86.01 45.84 27.56],148.28
[25.48],[55.53],11.33
[7.67 33.91 31.45 6.52 9.48],[31.22 91.77 66.01 79.85 94.2],20.62
[47.44],[82.94],8.09
[25.43 43.22 23.42 42.09 25.7],[0.0 0.0 0.0 0.0 0.0],159.86
[50.0],[100.0],0.0
[3.69 35.45 15.29 13.44],[34.96 36.87 18.15 77.0],40.39
[20.72 1.37 48.59 25.12 7.84 36.26 0.91 3.06 47.8 13.41 0.34 18.16 35.33 21.28 45.67 40.19],[4.59 0.62 56.86 47.33 75.71 72.1 91.8 55.93 36.06 30.71 66.72 94.64 75.97 85.64 9.7 23.3],193.32
[16.3 29.5 21.21 21.87 33.83 6.23 17.05 47.45 2.11 47.82 42.38 21.99 11.83 9.94 27.34 12.02 21.62 40.75],[49.41 56.42 77.41 21.02 30.31 27.35 59.52 15.21 51.03 94.27 51.06 30.29 17.52 63.41 19.41 85.56 61.85 2.44],243.41
[37.0 19.55 45.52 10.57 21.77 49.8],[47.78 10.81 84.68 34.64 74.2 29.83],91.2
[41.02 17.41 22.48 38.02 27.01 12.78 5.36 1.3],[75.38 52.64 76.01 85.14 42.89 2.38 92.27 79.18],57.97
[6.1 24.39 20.11 43.81 44.96 48.16 19.19 22.76 31.82],[99.47 90.41 26.13 36.98 22.79 33.16 78.47 72.18 21.28],147.25
[22.71 48.65 22.66 35.41 31.83 2.75 38.6 1.73 2.38 7.41 32.14 37.55 32.06 23.78 10.47 34.16 45.65 37.44 43.27],[51.06 35.33 37.03 37.64 29.64 46.14 59.83 40.8 54.56 61.99 22.84 13.5 1.8 76.04 39.71 12.76 9.22 41.65 43.56],341.51
[28.97 38.32 21.75 21.23 3.59 22.55 3.61 29.83 9.28 8.18 44.08 37.4 34.13 8.89],[44.08 31.94 63.89 33.88 39.98 52.49 3.29 22.5 43.35 60.02 38.11 37.55 6.53 12.27],202.51
[14.82],[91.57],1.25
[13.07 45.98 23.3],[36.21 10.8 6.42],71.16
[21.18 48.1 45.37 12.89 34.33 23.12 47.12 27.85 13.98 6.23 33.36 21.9 27.84 25.55 28.26 28.68 18.43 20.15 5.12],[99.06 14.25 98.08 88.42 30.04 7.17 3.48 65.46 27.67 61.63 80.48 3.3 69.01 91.36 49.11 42.58 51.66 62.96 69.6],244.19
[24.69 8.17 45.88 3.56 4.06 28.11 45.6 17.58 23.02 32.55],[35.58 60.06 54.41 87.83 87.93 10.24 12.24 63.12 10.83 58.2],146.87
[30.7 13.73 42.06 33.15 49.44 33.79 40.79 30.23 42.3 12.72 22.59 49.78],[16.07 29.24 65.69 53.55 81.21 93.64 70.21 26.23 62.2 36.21 10.1 31.4],189.76
[1.28 8.85],[33.07 48.42],5.42
[6.43 39.72 17.83 23.01 38.42],[14.84 58.52 21.38 61.87 2.88],82.06
[21.45 26.82 15.17 25.51 24.83 0.93 24.56 10.49 30.28 40.25 11.39],[88.56 89.47 84.27 76.73 86.6 28.4 13.7 94.77 99.41 90.62 49.5],49.04
[38.51 13.92 24.1 7.05 25.74 3.61 12.34 17.3 48.65 14.51 23.54 36.27 45.57],[9.51 69.05 7.19 73.07 15.2 17.93 33.17 36.41 50.15 47.81 31.89 95.96 43.63],182.47
[8.44 0.08],[51.36 13.04],4.17
[9.99 9.99 9.99 9.99 9.99 9.99 9.99 9.99 9.99 9.99],[33.65 33.65 33.65 33.65 33.65 33.65 33.65 33.65 33.65 33.65],66.28
[34.8 2.77 46.7 19.49 33.07],[87.86 48.2 67.78 65.95 25.89],51.85
[15.35 1.12 25.87 22.13 25.24 32.68 17.57 25.99 4.39 19.33 13.35 36.82 4.01 16.22 45.45 33.61 8.34 26.39 31.1],[26.48 94.09 56.78 92.06 27.95 17.76 11.68 90.82 53.28 66.1 23.46 88.52 48.01 77.6 97.89 70.94 0.82 28.68 71.55],162.69
[17.78 15.01 0.23 35.63],[63.58 90.14 98.74 41.62],28.76
[34.58 46.12 4.68 5.09 10.88 25.13 13.87 35.92 45.8],[79.3 94.07 36.83 13.89 16.7 28.94 93.63 44.66 10.36],105.97
[20.0 20.0],[20.0 0.0],36.0
[12.98 37.79 19.92 42.55 35.19 19.49 37.28 33.71 5.74 22.57 32.56],[11.07 48.78 26.11 36.13 48.8 21.37 59.02 43.16 74.07 25.18 44.09],177.15
[6.7],[40.86],3.96
[19.02 33.13 46.2 23.67 15.08 49.71 14.08 22.76 8.24 19.22 0.98],[34.36 85.34 83.52 1.86 27.74 92.36 59.77 87.38 63.63 91.59 3.61],76.97
[17.54 29.01],[74.47 93.56],6.35
[25.58 21.86 36.57 15.48 22.18 14.48 45.85],[94.06 77.11 31.28 73.77 2.68 73.82 77.11],71.59
[43.14 18.23 5.33 1.35 39.68],[100.0 100.0 100.0 100.0 100.0],0.0
[11.9 39.69 23.87 37.15 10.98 19.31 10.99 15.46 48.34 8.96 1.48 0.31 12.03 14.16 24.19 26.67 8.15 38.7 4.46 0.14],[90.71 49.45 0.36 4.4 52.23 7.3 87.84 5.43 48.96 8.38 7.49 73.14 30.09 89.67 9.55 15.53 8.19 64.68 18.61 59.01],233.02
