input1,output1
,
a,a
this is a test,this is a test
this is another test,this is rehtona test
hi,hi
cat,cat
walk,walk
jazz,jazz
llama,amall
heart,traeh
pantry,yrtnap
helpful,lufpleh
disrespectful,luftcepsersid
stop spinning these,stop gninnips eseht
couple longer words,elpuoc regnol sdrow
oneloongworrrrrrrrrd,drrrrrrrrrowgnooleno
a b c d e f g h i j,a b c d e f g h i j
ab cd ef gh ij kl mn,ab cd ef gh ij kl mn
abc def gef hij klm,abc def gef hij klm
word less than five,word less than five
abcde fghij klmno,edcba jihgf onmlk
abcdef ghijkl mnopqr,fedcba lkjihg rqponm
abcdefg hijklmn,gfedcba nmlkjih
abcdefgh ijklmnop,hgfedcba ponmlkji
abcdefghi jklmnopqrs,ihgfedcba srqponmlkj
on pineapple island,on elppaenip dnalsi
maybe this isgood,ebyam this doogsi
racecar palindrome,racecar emordnilap
ella is a short pali,ella is a trohs pali
science hi,ecneics hi
