input1,output1
399759,98181492581
7,49
196830,181366490
518813,251646419
780882,4964064644
401398,160198164
8986,64816436
66337,36369949
895959,648125812581
872560,6449425360
480867,16640643649
0,0
63469,369163681
219340,41819160
571750,2549149250
987232,816449494
892874,64814644916
995704,81812549016
215340,41259160
92,814
690928,3681081464
460022,16360044
527944,25449811616
12,14
876376,64493694936
24,416
794,498116
855772,64252549494
362132,9364194
279995,44981818125
965340,8136259160
584292,2564164814
80,640
568671,25366436491
550671,2525036491
1,1
366138,936361964
50314,2509116
625692,3642536814
980329,816409481
695826,36812564436
46,1636
215538,412525964
244300,41616900
212424,41416416
51334,2519916
38748,964491664
1000000,1000000
126315,14369125
804704,6401649016
2086,406436
244519,4161625181
224929,441681481
321942,94181164
921915,814181125
63225,3694425
5,25
575348,25492591664
348366,9166493636
33320,99940
858829,64256464481
779636,49498136936
659807,36258164049
185,16425
44793,161649819
677815,36494964125
135050,19250250
878903,6449648109
561881,2536164641
811354,641192516
57,2549
731480,499116640
272967,4494813649
79955,4981812525
904485,81016166425
449597,161681258149
2,4
507015,250490125
256148,4253611664
957738,81254949964
79,4981
503248,250941664
855486,642525166436
678876,364964644936
358901,925648101
864742,64361649164
443418,1616916164
980754,81640492516
10,10
489380,1664819640
18959,164812581
321012,941014
376762,9493649364
999999,818181818181
68879,3664644981
987654,816449362516
464017,1636160149
330798,990498164
586918,25643681164
460374,1636094916
858885,642564646425
51663,25136369
309024,90810416
310805,91064025
4,16
347382,916499644
577746,254949491636
684488,366416166464
934969,81916813681
16,136
336984,9936816416
99902,81818104
606373,360369499
435459,16925162581
178393,149649819
732058,499402564
408,16064
330302,990904
529928,2548181464
820288,644046464
543083,251690649
803685,6409366425
55400,25251600
926626,8143636436
876145,64493611625
837524,6494925416
35,925
663616,3636936136
943379,8116994981
979756,814981492536
98,8164
9,81
268241,436644161
35033,925099
567131,253649191
100,100
69255,368142525
67899,3649648181
500892,250064814
372,9494
912238,81144964
655319,3625259181
231,491
3,9
377483,9494916649
68,3664
733379,499994981
444937,16161681949
443182,161691644
576799,254936498181
