0,"[np.float64(1.0), np.float64(1.0)]"
1,"[0.0, 0.0]"
2,"[np.float64(1.0), np.float64(1.0)]"
3,"[np.float64(1.0), np.float64(1.0)]"
4,"[0.0, 0.0]"
5,"[np.float64(1.0), np.float64(1.0)]"
6,"[0.0, 0.0]"
7,"[np.float64(1.0), np.float64(1.0)]"
8,"[0.0, 0.0]"
9,"[np.float64(0.055), np.float64(0.0)]"
10,"[np.float64(1.0), np.float64(1.0)]"
11,"[np.float64(0.04), np.float64(0.0)]"
12,"[np.float64(0.08), np.float64(0.0)]"
13,"[np.float64(1.0), np.float64(1.0)]"
14,"[0.0, 0.0]"
15,"[0.0, 0.0]"
16,"[np.float64(1.0), np.float64(1.0)]"
17,"[0.0, 0.0]"
18,"[np.float64(1.0), np.float64(1.0)]"
19,"[np.float64(0.13), np.float64(0.01)]"
