input1,input2,input3,output1
h,d,hhhhhhhhhhhhhhhhhhhh,dddddddddddddddddddd
wvgyzu,exbiwt,gyzwvgggyguwwvwzw,biwexbbbibteexewe
gnkasozvuldymjitqebcxwhr,rtwfulcazeiphdvgmonkjyxq,meomdle,holhieo
icwgbndprtljamosqvuf,qotghryubnxmpkvfcdwi,qunirovngjmnglsnrii,cwrqbvdrgmkrgxfrbqq
msjqdoczweprglfuyvihnxbkat,osvcqldzxfktbmnyepiauwrjhg,et,fg
deaxp,nmcfi,axepxp,cfmifi
uncmksvzqlprxgobwtdjfeaiy,orudcxkeambhflqpiwzytvgsn,afxyjukanywncignvkuzu,gtfnyocgrniruslrkcoeo
o,z,oooooooooooooooooooooooooo,zzzzzzzzzzzzzzzzzzzzzzzzzz
jaukncpiyxsz,iprfymebonuj,kyzuaxkjcysc,fojrpnfimoum
amdprwhlvnqgxjbzoytkuc,vigrlzxswdcytaquohmekj,tplntrbcozhdurpwmavwra,mrsdmlqjouxgklrzivwzlv
mhiavufpncjgwz,jbqvwkcpmzsfar,gvchnnhvghjmfzagiumzzzmu,fwzbmmbwfbsjcrvfqkjrrrjk
,,,
xgnzdcuatvlqmbky,agzmfnvlqdoisetx,vbaqmvq,delisdi
jvnyhrdqswiutfclebokxz,noigqxcwmeyatupklhdfzj,kwvnodswydsjjlqysiyrieutri,feoidcmegcmnnkwgmygxylatxy
wlh,som,w,s
uzldxvfkagqbhseiwmcnpjytr,uhzrmvpwslktjqenybixfoagd,gnltlfebqzdlmpn,lxzgzpetkhrzbfx
to,em,ottttotoot,meeeememme
db,lo,ddddddddb,llllllllo
kgmljvqspbw,qxojfnupdkr,wkjjjkqpvmqwblsgbgsbjvkb,rqfffqudnourkjpxkxpkfnqk
cofapesqjuig,ysfqwrbdkioh,sjsoqiacujispfiiu,bkbsdoqyikobwfooi
onkalgymdheftjir,bfrxocwkuvsnhmqd,jkmrrgge,mrkddccs
u,b,uuuu,bbbb
burctwqngldmiyazojf,cxezmawgsrnobitkdlf,yatidlmrbcmwojqqrblob,itmbnroeczoadlwwecrdc
j,h,j,h
vohpmzwca,jwxqgbuih,zamcvcam,bhgijihg
qwnztvoebluxyschmiajpf,ugljcaekwsnitxzyhdboqm,snszillm,xlxjdssh
seiotpglkcmfzr,pyvqolwcretnjm,fg,nw
tcvesxnuj,fpcdqawri,cnetcccsveje,pwdfpppqcdid
ijzprfbscontvkedwxghumqya,arhptlbkfjqywgnuvxisocmzd,oa,jd
tkcipyq,fmhzejl,ci,hz
n,y,nnnnnnnnnnnnnnnnnnnnnnn,yyyyyyyyyyyyyyyyyyyyyyy
hxibfdjnkpvelmczu,gszjfmdeqnwiupcyx,imfdiddhdbublpfmkhh,zpfmzmmgmjxjunfpqgg
pkjhntbuvwslrcaexqmig,ogitadrplmkqwnyxuvfbe,vsutealhusstpbcknwgmv,lkpdxyqtpkkdorngamefl
jbzrvwfikextqsp,ykeanwgojbpqivt,kjzkxjqr,jyejpyia
udiyfbjvmwzapecoxsktrglqnh,gkfoedbpnvrchmsuqyxajztwli,fkwomvkxwlwvjrfabstkaojest,exvunpxqvtvpbjecdyaxcubmya
ogviqj,ahgdir,gvovvgijvjqgqivvgjgvioggog,hgagghdrgrihidgghrhgdahhah
ejmsuntvbzrdykxgc,kjfitobxevcprdqzn,neztmzcxyz,okvbfvnqrv
kjdbugstpfnrqhaz,npimldehxzcasyfo,dqshzdndtdkfa,iseyoicihinzf
zqnixwhyfo,pzknjdcirm,fyxiwwyqyiwzqiqyn,rijnddizindpznzik
cxnvh,rlewj,nnccccccvcccncncnv,eerrrrrrwrrrererew
kqgncjbet,wuhyvxkpn,cgtgcn,vhnhvy
qymzecafonrhkxublwjtsg,zxnkaylupftoqehgvwjcdr,soyjamfehlflfyorznj,dpxjlnuaovuvuxptkfj
dbzoiefymug,pubnhjxgktf,ydb,gpu
trqgjuomlybdwcezxhp,nkwgrqlomyjchdetfui,xdjrodbzylephxpby,fcrklcjtymeiufijy
uhsfgyktipmj,uwekajopnmhi,pjtsjggjkssiju,mipeiaaioeeniu
pea,rom,epeeppapapea,oroorrmrmrom
mvl,pwv,vvmvmvlvlmmmllvlmvlmmv,wwpwpwvwvpppvvwvpwvppw
xsealmqhzgunytijrfcdvkow,gkhbveuofijsqcxdapnwlzmr,htcvueerntazvfqqkwtmnvx,ocnljhhascbflpuuzrceslg
uzlkpyercabohmtsj,owyhkigqjnzartbdl,clpukhbzpbpuabhptzkhhseth,jykohrzwkzkonzrkbwhrrdgbr
hzuvekiglmdaf,zqcdblvuseawr,ifvmdeeevkeiulzgkvgvfa,vrdeabbbdlbvcsquldudrw
mtbelqospaykjhdfxwugrizvcn,htmrlnvqexkdfaopyuizbcjgsw,zeuitcrojthlcuugsgo,jrictsbvftalsiizqzv
qdfgyhetsb,gljnxeobak,fffqsstggdyeqtbse,jjjgaabnnlxogbkao
a,a,a,a
vyordlhtx,ylbnxkcji,xrtlvrv,injkyny
znglyvd,wtgalxj,znddglnvvznzvyylvzgggggg,wtjjgatxxwtwxllaxwgggggg
kbyjhxsgocmtfwdznvepiqa,okcxvwgmptbsrdefianzlqj,vmaedodfqyymepgv,abjneperqccbnzma
jmcbefphvl,olahzbykgi,bbplhpclbljcbfevhvmppvj,hhyikyaihioahbzgkglyygo
gcvrh,wvamf,ggggcrrhchrrrrcrgcrrh,wwwwvmmfvfmmmmvmwvmmf
nrqthpczlbam,crqumsknfxov,lcrl,fkrf
eybuwkoistnfg,uprxbqhafclyw,eougfgbbfotteubo,uhxwywrryhccuxrh
abevfiupnctkjrlxzdwh,gyeisuojmnqhcazdvfbl,vrvncknwhhanfewtbpdjtl,iaimnhmbllgmsebqyjfcqz
bhuofndjwe,tfasmbquyi,owhjhfddwwjub,syfufmqqyyuat
czpnhda,juqvbem,ahchcnnnznahz,mbjbjvvvuvmbu
gizdcjmxa,uznwalmsx,imaacjgiammxcmadmcaaxddd,zmxxaluzxmmsamxwmaxxswww
vaiblnrzyhkjotmfgcp,kejaybgrcutxzlqhfis,crvgpccmktjv,igkfsiiqtlxk
clsbnuxgfviajowptrqhk,einpclwhvfmtjadzqguyk,hrppb,ygzzp
ayobsuexfnvhi,jrshpxyqvikug,hbsyanbvauuxbuaaae,uhprjihkjxxqhxjjjy
rzhnwfudxjst,danzekstbvfo,rjr,dvd
ilbjo,itsdy,jiiljiijoioiliblijoblboil,diitdiidyiyitistidystsyit
usrxgbzkoqmchapwdvlinte,twluvcsxjhgpqaobefyirzm,bnzssvwtbl,crswwfbzcy
v,m,vvvvvvvvvvvvvvvvvvvv,mmmmmmmmmmmmmmmmmmmm
xfdybw,uxanej,dyffwbyybww,anxxjennejj
ukr,yik,kkrkru,iikiky
slojxaqrcdntwuemvzpg,enqcdpmyowhvkftsrbxi,tar,vpy
cakeldsnhu,tsepiyavmw,ls,ia
xikhtqpcegzmsuwndbylrojvfa,scznrfaiuxgtwjhdyovelpkbmq,fnwbcubfsgoxif,mdhoijomwxpscm
uzxwbyqsvptcorlakeignjhdmf,hncgfqarmdbkpwsziolyjvtuex,rrvarljtvb,wwmzwsvbmf
e,x,eeeeeeee,xxxxxxxx
rwsqtmyuzkdbahlvcgnxpef,ipdhvwklxjsgnocqfayrtmb,dyvurzb,skqlixg
amkfewdosbg,mroftcvjyzu,beedssdffssdagfmdfsbmfdk,zttvyyvffyyvmufrvfyzrfvo
gycahjzoquv,dafsmntvzoi,ucvyz,ofiat
vhayudfproglwsbtkcexziq,rfkbijmzvuwqgnoethlsxpd,xwxqfued,sgsdmilj
roytuixspmbjvgezchnwakq,ilqrsjcnzbtpaguekyhvwod,x,c
ah,wb,haahhhhhhahahhahhahh,bwwbbbbbbwbwbbwbbwbb
ogacxjmbzupthiqfwe,kyveozruimscwghdjl,xwqgtmiwujaufmewt,ojhycrgjmzvmdrljc
hoqcjmleuafbdkvsxrpgzyi,lrtkhodmipuczswnabqgjfv,ozdamejaymrqbefxpmfyl,rjzpomhpfobtcmuaqoufd
