input1,output1
"xX#;&(I[`H/K<.E[;I~Ltj$h_I(0,O|6~;t%AXE-g|j*efwE^Y7<(ZP2-A|+^)gL5+.grt7;}iSlF;gy~jXcv>M4LkR)N",Your tweet has 93 characters
".W8Lm(""Iu5AGHu~2}}VLL:w,ra]O7q@{0yWQ+GL+@'w54Z9?[\5\6xzdRy@80pyr&|\5`/~XGM)Eh/*5k9g6]tPnb""7)0m`Tm|7.+J8y7@~%:(=0lEG6+GB:[\57<`$t=>DWYqA<44S&ujnHp]9I-B2A@}V|Z24O>)Z;""Al;#Un8",Too many characters
3YVf?!]H+>4zh^Zui;H.75rQ;lL@5`:rewK*|=p([Ce-<,Your tweet has 45 characters
c&I%1}+pK@l*}ihbk}#sK]#2q6K!J7-(#s.XQ#Q,Your tweet has 39 characters
(@)&#N)&#@!M#&17t8023n217830123bn6 BN23780BC3879N01nc3n473N962n9768062BC3718N396b21v8365n9072B638705b097B6*&b%&%b(*B5*&%b7%(*vb&V8%v&(85V80%0857(%v97%(*&%v87c%&*c ()0*^c%08v^mN098)vf%9P8V6TfB97b99870),Too many characters
"Ih9vPF*!F,(:S,UX32)Z9bQSdEn`K[Ba*,y8`uqs<BAp,!ckLD*>L6",Your tweet has 54 characters
"o/x2f\liYn!gx^T7|X'I,pGN7n_0hbZF'\1]b8JQ-D@9ee=id<Xp{w?Xw&euS&e;5.zHrV\zcG:dVkx;""7z_MTH{u1=<V9:f|n*beo['$THiP",Your tweet has 109 characters
")ns`""%98GKx6YUhQ.y+Gpq@d*7vL~*-.y5yxb'Cgq=D/5H5C7A=ezm\Ke@z\>?uwyBYUnf(|hr_H""&kp&>A:U)!},Pi}W|\{3EHR0/?7}}KVTxSWvo2u<jwYT,^fi|[~S57{R;h.kNd#=_X@{R*dzAwlB-=@R_Z.nbFx(LP$6w!G0*(4_u)z}7M#L}7",Too many characters
"e!aB*wNg(M<M6{inU""2'bHCPoQ$Z:Tr}Qfs4k:X+YK/ca)E+\/kv~SiJ2!>WI$kj:o=BH.y)hK]X,Jh*rONYsT+hHPp'W!2X@4/Qw.fjWxA|N!3\[a1J1zQUtVuYPexv&.S!Rt,3!67]]t=Ij9^VVG;{ut1.}QRUxkLpwlg%%egx]g\T",Too many characters
"&PZZsU@,+Y,<u,_R2Q~XBByoKfH9Z}f^K/b)t`c(>+wUvCj@x8$BGZDR%+SyQw![+QA""o9xy)+f_{Hjfuq9[]a@ct&wa`.mG\H8TUeE!&1}E<EmsN)JqkI;q79f\{g""8pb[MAA0q',MBn\}],d]Gs<HpzQDFBPMVNeq:_1*3{:,s$",Too many characters
cCfm,Your tweet has 4 characters
^\y4Q81BpNTa,Your tweet has 12 characters
?1#8f23{4BtQmVO&9H7z}K5nU'm',Your tweet has 28 characters
"by9S4v/IFZ&!M#/[AV!>R;5!nsp=lwt%_AN(_;Xx&nC_""[m-|P>v;~Za1Vh^\i38dcb1eE6|T=Y7N3.za>6K_bS^w({\7DKQ*e5Jd~(xSl#L1/<sy6kOJ:}7z|ug`J*O:hQ2Khk7rg'4y2;fk:qLso0YW_'DFC8,;')qs""=vT_f%",Too many characters
"%7>wap6t90L+`CvvFE|nTd\Pp,DX,J:52(~gp=p$599v0xP(X600CmZ=\/\%8wlAzj8]W3T",Your tweet has 71 characters
"*1+:N4%=MPqQU{wGe_\{wn4=uyAQG-kOZ:$B=!jR:Ivcwg3?}""l'<V'tumroU@""kSS$4",Your tweet has 68 characters
Tooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooolong1,Too many characters
.R]6H=V'X+cSI^_s5&}q(p1)])Al$K=5rFwSxvp(6af3a(A,Your tweet has 47 characters
"~e,Rl&sDm=LF_Cf%8"",65HNL:|e",Your tweet has 27 characters
"*Pk;\?zR?LK5/7=Tsw!c^}QmDlJcz('c+5w[d*bVO_]ln""]_DO\dy8')tW^*hOrx311rq</XOP",Your tweet has 74 characters
1,Your tweet has 1 characters
"0jB1zf[&HJa8D_ESU!>$=dh?>i8*""J$&*O5[:*[!!0NAC{wSya[[}poIEnUfVo4""_];96=]Mffb|AVMM&NmoIq,/mK1nsOj*`X+_[??a|kGt{r}",Your tweet has 111 characters
"K<I+wnh>I[FNu(xii)cqzs{G]E7lBy_AEVS7(,SmWZ2=3J`=^paDZ0\L!=}y4h?l|.0&l1Nx9eYCd#ML[vu%nYD-l^B6;\l^1/PUE>^?SuH'>/mKxLTXQG\(Pv1//AZ^q/)GyNVT8`ok}^>P^6^wfUQ^Xf$g0rBK5DH-RN5b%M^%V",Too many characters
"jB2*""#jPp+wI#NMJ*Y/dd!?l;g2kqug?Ei30}Q\^0jMif&#z1CGb~$#vBP_`?oG(AM?[U&*smG""RVc9qkr=K[BipXNfKckH8tXO^sypO|?D",Your tweet has 107 characters
"=ZtodLc9U^ShCh,RwI70~3'#O9eR5E<RtuGGrS@p.%C,H-exlI(~P<>U))j8Ic:+$BDUfW6Lk^Ny0",Your tweet has 77 characters
"Ui.5|Xx#th;e;Da5&p4QP0QjF'@mE3}2I7,w3ZgaQ6?TN2c!,FD\T{d""=KD`,)WW$IKh*\&SA[TW@C0`IOj1ta%>/!#E?3+Qiw=zec:?Xo)y^IFH}=rx6vK1$'0%'uluX73ubzgh^.ekbo8o;#j!bq<#IrC!!UW&J""8]Qc:U2>Xp#5(%z$gU=U""GMoqTEvD""'=eZ",Too many characters
"-.s0X$`T6L-4,*mPh<;f0`rFrjJ'6@-}3Bz0xr&2o&Jnd#h|&jjKM$IY*Wkd9&=l1LO",Your tweet has 67 characters
"V./1P-~$>nL}N!drF|\ZqEl$P(F&s;KtO?a8k3XsK[E4V4hJe""<xK61k26O@n/6o0%}gh38&}|""KE?Bzq?YZ&hj6`W)Daum2tnn,#~CiTJ<#Yov/4T'LOg{}2cp|G$haUy%bSZS;a*p]76Vc8-f#Or+a$hwfb""VF(Y#M:tiljk)>%",Too many characters
u%;h)wkh@]|y3<sH,Your tweet has 16 characters
