input1,input2,output1
[-65.12887043227691 23.685192499780513 -28.21930668172942 31.71807432493773 -24.25700788362373 -60.80921804164379 71.33845032890466 6.017599884115427 22.84440771081873 -45.39299437105269 -0.9129575319122694 54.4790200988524 79.81044617275901 -81.058395217213 -81.77830880517378 -20.512184366090437 -51.94083445104436 83.44673719186906 -19.27171552323601],[89.91413756530596 36.76154778306005 -91.07619897232905 -67.778102416976 -66.85774130351521 -41.06324691131105 97.14952596610581 0.008373658285520946 16.80058951633295 79.40155670721555 -86.43186624156046 5.195544147375529 22.590871832218994 -92.93954476359625 77.96466727982593 -55.43678759115074 -72.68945310477342 -42.96911178462395 -34.345185750765125],336.3196002623162
[42.91283],[-22.134],65.04683
[58.34521486060035],[-94.13055270551145],152.4757675661118
[27.019612087042773 -44.36321598546624 -84.86673797312505 33.189824271268634],[-85.96611821834527 -69.2849685758115 -15.68135344853792 92.4603937333342],147.26332483340445
[-6.752403737288432 56.37224609733957 -67.50017988637936 -77.00007874809663 50.45731108913961 5.610778654914611 -63.36090454865404 -23.351415828408165 -45.59648999853072 -14.883645289147296 38.96995516918281 32.611694444358704 76.55846564147913 97.04884138883753 87.26863869182958],[-9.411450266841243 -9.31370384147516 55.63182454250679 30.307698922442825 -21.52122804432672 94.34059987816468 -84.14468592212798 48.035967429158205 -80.46198393586039 16.30742021045502 -53.54342714455469 -16.98545643182628 -53.255459837011145 41.05429970155697 24.187166466838676],294.5396138711227
[31.09574022958259 53.1517459527835 -98.46145227805852 76.84577955313736 -38.514739557350296],[-45.47397227369543 -51.31574473167084 44.10319443976894 31.99169006118146 -24.82724435795913],198.24301461969827
[0.4378 0.634 0.1234 0.764 0.243],[-0.254 -0.1223 -0.19582 -0.8971 -0.8743],2.2715833329200144
[-21.913549335942122 -55.994884286544156],[21.550946747132542 -72.04046819359283],46.33166501080824
[-36.02773448406153 72.101637461866],[30.298376452251347 -9.819933979571928],105.40539293305017
[36.210487252130605 8.124729539185921 -84.49134338382808 -73.93537498265366],[-91.06247854665861 -43.51047284248855 -30.16297291657446 -52.53190843241904],149.24571071293948
[-79.27775375258095 -59.58297774670913 -60.54826358290821 49.39345963690204 -68.66620495361977 -83.25771061590063],[-3.582847775201941 -20.340070017508793 96.80738943623984 -80.83556233899579 16.439833209796646 84.25408161670788],290.3331923302978
[5.32 5.32 5.32 5.32 5.32 5.32 5.32 5.32 5.32 5.32 5.32 5.32 5.32 5.32 5.32 5.32 5.32 5.32 5.32 5.32],[5.32 5.32 5.32 5.32 5.32 5.32 5.32 5.32 5.32 5.32 5.32 5.32 5.32 5.32 5.32 5.32 5.32 5.32 5.32 5.32],0.0
[-30.503722922181467 -61.32343054411451],[-59.57435532395532 45.29954715811198],110.51498107645202
[-21.828492018410415 -50.37981698358074 -76.81290202297234 -54.661737919246356 -42.900752581937155 -28.009803833944773 -98.49306675796193 -55.57401319375184],[-74.33786553906393 25.757893122006294 -29.454813834136388 67.4699686280025 -33.057205173701746 35.35356019298882 -1.5118711084639074 28.187179304513222],215.04936287611804
[2.0684491905279714 31.743982797786884 74.53014496635728 -2.242592232038888 78.78305016727677 84.74222484178037],[33.134584766979145 -54.87987099789322 -59.71532271950626 93.49105075757979 88.85310142183769 6.237918061071696],204.74351011868217
[-67.24964383905666 78.9204926012101 53.13734701014312 -8.018577834300046 -4.977161932922172 24.547237358721105 92.5155860248276],[1.0719330454482616 -55.807633278046694 55.50428601136406 -26.948852861062434 -26.686196794798093 -60.72977894467353 -69.93684711737242],239.41116979333083
[13.066449752296805 63.430074826517625 87.972434854579 -24.112749067917136 -62.13389711901498 36.20271532149232 -31.729568536018007 25.59895951494842],[79.3140666116609 63.740202845944424 -89.43312885489067 56.02339453157455 -71.00233385041898 -69.78352452390344 -53.84316336809319 -73.79638499090171],252.9101742861783
[13.048617534499002 -24.11958019402573 32.93810636692763 45.20958740270089 -55.7304891151539],[-16.144956541821955 67.68166820830783 69.5530854938622 -89.33883477770605 90.83637908247906],224.06587298502595
[-17.60976993440606 0.3431795388915617 -59.35123721044606 -25.447018624536938 -11.233815612943971 -71.92203874523304 -63.28067653302234],[84.89969723857672 -71.97945884313532 -22.59788243792981 87.56529550008153 70.67830242152934 -93.2891486464411 -23.428994453014937],196.508656665532
[8.074681278051159 -33.31406821883169 94.92018557849701 85.43598657940117 -78.4964851593392 68.48524556287592 12.693812112988567 -3.2069440442969324 97.00245016850067 -52.82602827878471 -75.65490601991283 88.76804416610173 16.74834588420046 -54.4784348245104 55.73060216616804 -35.731962363007824 13.011223448132526 -78.61633970543087 -98.96698179727798 -99.16633380431222],[-1.0961085280027447 -67.07917283463061 68.28134196219148 -0.48463685110814936 -38.92826301654178 94.4321716367769 13.352459758561054 -63.50362304162465 -27.468031155835206 30.397718772993926 0.4483912195291282 72.49795253604131 95.00429052491057 24.26892148133932 -33.698536695150366 -2.9275723338819404 57.4579244834311 -16.258098414411677 -89.13257592909127 -36.78980566618997],273.7099603298361
[7.853548918847736 39.70383406776796 -32.37042536627554],[-12.489394453998017 -89.27712569312081 59.61776203806383],159.72398050338802
[95.5457321473016 71.84168283785286 49.924042654819374],[-3.5898153265315926 -78.48817966229637 -58.53641815083037],210.21559383267527
[14.704409479673416 -6.068290231420875 9.944143334212413 -65.82349956242126 25.242794071866953 -73.11905336452102 69.24324685584003 40.14461185546892 52.55347470369003 -67.96119028110992 13.249337373332153 94.89624406346147 75.03974818335774],[13.441820693766289 -89.26674838948165 20.05010214391352 67.05048207450952 5.550057765733868 41.70935550940982 5.473100551722538 35.57689369381029 7.776353941294161 55.16667376384376 -99.68478552376514 65.62114761055525 -70.74266826071793],307.1989383210991
[23.494878650336148 -92.34731354304955 64.70472322820197],[59.16948971723545 77.5868422344098 5.465663248838325],183.4654229052739
[-89.82994378841367 -97.47031562206678 17.23922364564858 -58.29604049149726 -92.28405009914651 -22.630350965339275 -48.86765926290559 -45.229811967815436],[-69.39455220600503 -87.64078327167609 -98.31026273653667 -15.83164284924645 -40.02023044491412 90.28024415862848 27.833434939733976 -47.73792068735459],192.4546481719516
[63.29132801779977 50.852444946695414 38.336037644902376 -61.646605816477184 -76.8177597795694 68.2640808342914 -90.28025779791655 87.28601441128768 4.16482017819331 -59.563996037388 -74.56070142787883 74.30201253633811 1.9413287096568865],[22.936909483393023 17.030229123378987 85.55836796843465 36.72121439458999 62.25527024045442 43.40019027566743 1.9997977984419038 82.95733036006601 80.37552433829566 -76.1418325705786 -40.37449730112941 17.705743535148315 91.09576187753859],248.14453061772613
[-17.145393902793927 -55.80471970091385 7.778574059326942 -94.14661052864808 17.797611556395495 -20.126144413251552 -78.07069578189207 97.96905880306852 57.872019277038476 81.43376482725188 -0.6898452302956315],[26.5160175988336 32.96682468004937 -64.69584125438783 54.97324683591708 94.49671698771013 -6.227247949374032 37.589088163106936 -42.45666320988208 17.784192307422188 79.76438114258258 3.8837591031384022],279.4265885222092
[-100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0 -100.0],[100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0 100.0],894.4271909999159
[26.278123662480752 77.61346403897801],[85.22264536365296 -20.283852155941446],114.27309900736918
[-38.27857285947758 -66.53028521263293 98.61800062997636 -41.43347422725654 40.722402180520135 75.66427959144869 -72.44894069596957 -14.27364823184763 -85.55844232275818 34.27047789799448 -99.95051442963592 -80.29481045849478 19.077077611192166],[-86.76509392490107 -15.683064789039264 -27.876043715361433 48.917242821777705 -87.86853493762466 -22.237085335818534 -57.521348805326596 -13.472934883955972 11.107872630475242 26.912739354856825 15.683851326717303 93.63309936858948 -83.65741249161044],344.99169694572953
[-71.16227713485529 27.830665932445655 85.57892987936137 -72.89176399451844 -50.8504567612402 25.917073770764176 -14.944288655135821 -83.41831866016742 -29.18954583634799 68.57988898667537 -42.59665298951607 36.9701241012005 -33.404832283515915 13.175654875034752],[-11.582931537693526 89.62406329002289 21.458986034407076 -73.64547752364608 76.26091437745549 -44.41759239938341 53.63154374166231 36.41986766367529 7.394050544614842 76.68814573844102 -74.59349942500046 25.34267340281093 -87.64280224167027 63.910648350342285],244.39119333819508
[-29.025921142116886 47.15216274753311 82.03120178793921 79.33123069847548 -38.06713192081605 -87.06663124007108 50.38160176880817 -99.5967141056773 54.80340902949098 34.177931537086636 24.906488716227244 -12.539285385147409 -95.30182895099063 -50.10393713183747 12.490747434613539 22.385245321656953 51.36243074707886],[43.59844667601854 -91.3133076314097 -47.49872020230923 -47.0404675213302 18.497510907773318 46.62237457356963 68.78861395015102 -39.59342137475441 -60.414882838916604 71.546399542051 -94.67973167034707 56.77832846131102 -17.416987447464777 31.249725394808138 50.800789328104116 -55.69499101281086 -79.41735877884767],391.5811157403942
[53.33255525981275 -39.554069979676676 57.97678466657061 -9.289830985954012 18.671224419954854 -29.00231286170252 77.64676595990855 95.70551678301288 25.30869696254898 -24.84556048292042 44.793250953096845 8.046276803534155],[86.80112449463775 10.857281415412373 97.95138835341936 -52.2256861188906 14.284887264680094 -47.13542639112185 76.09668616780414 -37.218050141985934 41.499645200062815 36.77314148962381 -27.350790418909 87.50044000921474],201.73936457015856
[24.26363526394435 26.878427889498965 21.67822019106154 -64.83500040488461 -17.413604628421226 92.35267033732262],[-43.44606303651195 53.01999348322201 85.70015922730238 16.99392418668036 -51.60031334633168 -32.32380819407305],181.04066290575363
[1.5 2.87 3.3324 4.654 5.123 6.867 7.5324 8.534 9.4132 10.43],[-1.534 -2.543 -3.423 -4.13427 -5.714 -6.713 -7.4328 -8.43 -9.73 -10.752],42.309638973086265
[30.04812874229262 -71.19113353975752 -61.38366081564999 88.18403868073824],[-51.24538169488972 -82.54914225930307 14.411207019396485 30.120879304312894],125.91199969890828
[14.047741512666406 7.243321627955154],[-59.16835102172486 -36.732717477603074],85.40777611797495
[93.16714314357048 35.664714059835234 -70.48393536572048],[-68.94024584092037 -15.819977535015383 -37.48039932276497],173.2590904493169
[20.64755868918428 -52.925275281544046 -61.470556045694515 0.2234989986662015 -39.239451078322006 68.82229713750075 95.47145051173553 86.9776414109935 -26.840162260956262 -61.52440430585146 42.65107746201403 -16.618624085180272 -2.2692041503281217 94.53597310680865 -1.9764741063835771],[28.353153592015587 19.255651210370587 -26.330710320411626 32.87951606980158 16.75933646227736 -12.594438026508797 -72.9238357477695 36.07418969515791 -93.0083051204357 48.20594648357911 -86.86192871626291 -46.668976165965795 3.310066721475579 24.77419965278152 -99.1331973616551],310.99235837612844
[95.06504446274866 71.93811947441006 -29.866404109496656 -37.11187627738217 1.3538830094343268 94.06656120272166 -96.30374712366934 93.74874917090463 89.50644631632542 -41.99166910958705 -9.1146549828307 22.028590490627664 80.47847838423127 -37.786129506163334 93.30102414484111 26.601724769886744 88.85195139861543 4.590473744380901 -92.56153238821926],[35.91350311900129 37.84685870029648 26.43160937148241 -26.109236302455656 -8.87689158603932 -28.29892483208438 -57.8014830464882 82.77541341159713 -54.75212482536895 12.78760976542597 -5.435570702847841 4.101511903767701 -70.77631874130614 -49.90346677217514 96.20216680644694 89.17750299657109 -59.008922544581296 91.21652228558463 -1.883918113514028],336.62592212371095
[-89.81404813055347 7.5249998848349975 76.0809765445942 -40.00002930420088],[-12.992918245542 -68.06207273631124 72.32012546665118 -84.75639740789309],116.7568757329002
[-56.525920187048186 43.9883059709783 66.13167058043123 18.021623016704382 56.98998916631638 36.08539882354805 20.64549033711272 28.79926185426649 13.876166633439581 45.93405025317185 30.33864204913573 -9.02984953723805 62.22702385640099 27.42935080645168 -42.982508190844705 -42.41101562346892],[91.94626173849954 29.22965555726151 76.50948625112574 89.71576656812147 -84.209524422943 13.532773911188073 54.69438998072508 17.101133909030693 33.21176239246114 -65.92525216833877 -48.22794481850885 49.35708648950779 -62.15479020662988 27.80070550884028 62.585425432852134 74.19148478683141],334.5616088192438
